"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_9","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17"
"id_1",0,8787,411,0,0,0,0,0,0,0,163,0,0,0,0,0,1569
"id_2",14418,0,3654,0,0,0,0,0,0,0,0,0,0,0,0,0,454
"id_3",12014,9075,0,5428,1537,36,0,0,0,0,950,0,0,0,0,0,5705
"id_4",0,0,5999,0,3899,1498,0,0,228,0,2076,0,55,482,0,0,6634
"id_5",744,467,4092,3665,0,2148,0,244,425,307,818,736,875,437,1166,0,3729
"id_6",0,0,3224,1158,2919,0,0,0,2294,7210,5831,7210,0,0,0,0,5361
"id_7",0,0,0,0,0,0,0,7210,3791,0,191,0,0,0,0,1,0
"id_8",0,0,0,42,474,139,5573,0,7098,0,1511,0,0,7073,0,0,0
"id_9",0,0,0,1041,284,2696,166,5113,0,1155,1814,2185,0,690,0,0,0
"id_10",11372,0,0,0,0,0,0,0,0,0,3267,7210,0,0,0,0,1469
"id_11",3122,0,1674,1905,803,3339,31,1255,1568,3703,0,4023,0,341,0,0,2259
"id_12",0,0,0,0,1513,7210,0,0,272,7210,5383,0,0,0,0,0,2751
"id_13",0,0,23,3007,3470,0,0,0,0,0,0,0,0,2296,3718,2,778
"id_14",0,0,0,0,0,0,7209,61,0,0,2,0,0,0,0,7210,0
"id_15",0,0,0,0,2704,0,0,0,0,0,0,0,404,0,0,0,0
"id_16",0,0,0,0,0,0,7210,0,0,0,0,0,0,7210,0,0,0
"id_17",7168,5511,5581,5502,3502,1418,0,0,0,1121,509,111,0,263,128,0,0
