"id","id_1","id_3","id_7","id_9","id_10","id_13","id_14","id_15","id_16","id_22","id_24","id_25","id_27","id_29","id_30","id_32","id_35","id_36","id_39","id_40","id_41","id_42","id_43","id_44","id_45","id_46","id_48","id_49","id_50","id_51","id_53","id_54","id_55","id_56","id_57","id_58","id_59","id_60","id_62","id_63","id_65","id_66","id_72","id_73","id_75","id_77","id_82","id_87","id_88","id_89","id_90","id_91","id_93","id_94","id_96","id_97","id_99","id_100","id_102","id_103","id_104","id_105","id_109","id_111","id_115","id_116","id_121","id_122","id_124","id_125","id_127","id_130","id_131","id_132","id_135","id_136","id_137","id_141","id_148","id_153","id_156","id_157","id_185","id_237","id_240","id_242","id_252","id_259","id_262","id_264","id_290","id_302","id_309","id_328","id_484","id_492","id_541","id_553","id_557","id_566","id_570","id_620","id_740","id_741","id_744","id_772","id_773","id_774","id_775","id_776","id_779","id_781","id_782","id_783","id_784","id_785","id_786","id_787","id_789","id_790","id_791","id_792","id_793","id_794","id_795","id_796","id_797","id_798","id_799","id_800","id_801","id_802","id_803","id_804","id_805","id_806","id_807","id_809","id_810","id_811"
"id_1",0,0,1062,251,0,513,0,0,298,0,0,0,0,281,0,0,0,0,0,0,0,0,106,0,0,0,5909,0,0,2068,0,0,0,0,0,0,0,0,3469,0,0,0,5404,1931,494,1148,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,528,0,0,0,1101,493,0,0,73,0,0,3024,0,3452,1236,0,0,0,0,1212,0,0,161,316,0,2079,0,1788,0,0,975,4470,4733,0,0,0,4145,1,0,0,0,0,0,0,0,0,0,0,25,0,0,5141,761,0,0,0,0,338,388,0,0,0,132,1153,0,0,0,0,0,80,0,0,0
"id_3",0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6874,0,7210,1438,1772,0,0,2169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,549,1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,186,3940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_7",1470,0,0,688,91,551,544,896,536,0,0,0,0,0,0,0,0,453,0,0,0,0,322,0,251,1401,0,0,526,0,0,0,0,63,0,396,0,78,0,0,0,0,350,609,296,634,657,660,670,0,0,184,616,716,263,0,0,0,0,0,0,0,0,0,0,0,183,106,146,135,0,659,739,172,0,0,0,0,0,69,623,0,0,3206,477,3656,1323,3471,944,0,641,448,0,0,505,553,127,5057,417,409,3258,0,0,422,382,0,3459,0,0,0,0,0,0,102,0,601,0,587,0,426,0,0,0,0,1022,535,685,680,0,66,734,12,0,0,0,413,670,730,3054,0
"id_9",97,0,576,0,2982,179,0,568,0,66,94,0,508,550,100,0,0,85,0,43,66,83,311,121,248,401,476,49,0,493,152,266,0,91,0,0,0,403,247,0,69,207,785,321,0,104,617,204,207,303,156,142,187,187,153,0,0,0,0,0,0,136,0,0,208,261,265,312,205,3324,2828,151,75,554,125,176,3217,566,43,170,543,252,430,774,3114,761,665,971,42,72,0,636,68,0,257,129,97,829,0,505,588,131,95,0,223,0,678,0,0,310,0,184,214,41,0,183,3216,280,134,69,0,342,458,0,0,217,3551,35,0,3085,32,308,500,0,3122,1006,227,0,495,0
"id_10",0,0,0,2824,0,528,0,253,0,1378,98,0,0,0,203,4,223,914,207,1292,2862,2751,860,59,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,58,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,286,1380,3885,1696,13,268,0,1351,345,436,0,86,261,0,220,4592,203,1158,1526,453,203,0,89,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,38,101,0,0,0,0,0,78,0,1604,924,251,0,0,25,0,0,0,3,140,0,0,1334,0,309,0,241,2054,3450,3216,0,0,0
"id_13",457,0,1169,373,465,0,0,1707,1047,443,329,425,4,118,236,0,7,266,0,0,167,105,1310,582,58,0,503,458,5,158,730,730,0,0,6,0,0,1220,1027,0,116,147,32,669,0,472,395,252,294,585,766,404,256,255,248,219,240,255,88,195,183,175,174,0,12,267,955,1488,225,239,337,456,444,443,0,37,272,322,335,2127,1480,349,518,775,86,666,51,1164,0,1681,305,50,418,0,134,198,587,424,527,106,0,93,464,466,0,316,513,0,0,204,177,104,138,195,0,273,10,2620,541,0,103,0,60,0,1,2466,653,5,0,139,0,679,48,0,182,594,597,0,0,0
"id_14",0,236,352,0,0,0,0,0,1153,0,0,5469,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,2,0,0,0,4995,0,3720,863,1504,6824,0,0,936,345,655,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2136,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,1342,0,0,0,0,0,0,4874,4716,0,0,0,0,0,0,0,658,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,1886,0,0
"id_15",0,0,624,796,284,2380,0,0,1444,540,0,0,0,0,0,0,0,0,83,18,54,860,940,885,0,0,0,0,0,0,0,0,0,0,0,0,0,696,0,0,0,0,238,1237,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3745,3244,424,643,57,1471,0,0,36,0,0,0,0,3659,103,987,141,0,890,28,553,747,0,3124,0,0,0,0,0,0,0,142,178,46,0,0,554,786,0,0,0,0,0,0,0,0,0,313,0,0,219,3867,249,0,0,0,0,0,0,3272,0,0,0,1413,0,857,0,59,0,128,1555,0,0,0
"id_16",598,0,405,0,0,693,1246,0,0,0,0,305,187,136,0,0,0,0,0,0,0,0,496,1,395,170,308,1245,3493,327,0,0,0,0,0,0,0,1456,1143,627,0,0,320,1659,1378,516,234,480,531,0,0,217,1053,1066,277,0,0,0,0,0,0,0,0,0,0,0,58,1370,0,0,0,1177,651,0,0,0,0,77,50,858,1407,446,0,0,0,0,0,189,2230,1520,1529,870,360,0,1145,1127,374,0,675,134,0,0,823,633,973,0,0,0,0,0,0,0,0,0,0,579,0,2398,219,1893,0,0,129,0,2764,2057,0,2121,0,0,1540,80,175,0,0,0,0,2564,0,0
"id_22",0,0,0,54,1321,521,0,719,0,0,405,0,89,243,263,134,0,264,599,1869,1630,2033,959,1170,0,0,206,0,0,150,0,0,0,0,0,0,0,541,356,0,0,0,120,48,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,188,0,0,142,492,379,326,1068,766,1594,462,15,13,478,763,294,925,287,512,200,73,980,411,306,735,723,519,0,58,0,0,13,0,0,0,0,7,21,0,0,155,914,148,0,0,0,44,491,76,102,0,0,0,471,0,204,383,410,0,0,262,85,74,0,84,0,0,0,2424,0,892,166,5,505,906,512,0,0,86
