"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_21","id_22","id_23","id_24","id_25","id_26","id_27","id_28","id_29","id_30","id_31","id_32","id_33","id_34","id_35","id_36","id_37","id_38","id_39","id_40","id_41","id_42","id_44","id_45","id_46","id_47","id_48","id_49","id_50","id_51","id_52","id_53","id_54","id_55","id_56","id_57","id_58","id_59","id_60","id_61","id_62","id_64","id_65","id_67","id_69","id_71","id_72","id_74","id_75","id_76","id_80","id_84","id_85","id_86","id_87","id_88"
"id_1",0,57,0,9,4,0,0,0,0,119,0,9,1,0,0,0,0,0,52,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_2",78,0,575,808,2260,402,385,86,478,97,255,837,1034,1435,693,381,412,79,45,0,652,354,983,0,7,139,122,0,154,33,140,0,49,253,860,90,181,73,175,56,592,874,202,800,721,834,1321,112,0,349,234,763,160,954,0,64,1153,696,816,264,134,126,407,106,0,2,0,0,0,0,0,74,0,0,0
"id_3",0,614,0,421,1362,269,509,191,849,0,336,854,514,237,436,412,638,778,0,356,245,763,758,245,662,0,823,456,686,667,426,161,241,822,671,105,87,424,61,920,688,519,417,871,1646,228,406,661,318,361,246,279,369,603,131,396,284,669,1080,217,0,0,463,0,0,66,0,157,33,31,0,290,132,0,0
"id_4",20,793,369,0,375,901,221,40,1369,25,0,547,0,92,480,8,0,21,18,0,39,0,10,0,121,186,0,0,0,0,0,0,196,0,0,2,0,11,25,4,2046,29,1828,104,180,346,4163,4,0,71,8,0,61,24,0,0,17,166,349,183,114,115,1664,0,148,127,40,686,97,158,7,723,0,0,0
"id_5",5,1373,2710,478,0,823,880,94,1686,31,173,1392,223,301,177,38,68,87,21,146,764,1178,446,0,286,77,58,139,235,0,176,0,190,132,21,88,12,57,119,228,396,788,0,322,904,689,619,181,93,226,150,0,143,218,0,48,61,135,360,483,45,69,166,5,14,37,0,111,0,0,0,78,3,289,0
"id_6",0,436,259,1528,868,0,2103,250,1030,15,708,998,1228,480,106,349,124,430,0,236,199,0,38,310,404,0,2,59,614,581,297,4,1604,292,2385,303,165,1469,437,453,418,576,1017,902,336,662,1954,330,306,634,243,444,627,267,396,134,137,1456,1059,122,0,23,219,0,27,43,0,0,0,0,0,0,74,0,0
"id_7",0,523,570,436,1335,2935,0,320,1198,0,503,1066,1406,1196,126,314,337,102,0,45,857,194,244,0,154,55,147,170,41,47,274,392,1777,42,1899,23,52,1014,1047,1027,872,310,173,1910,704,692,1719,127,0,559,145,22,378,222,139,169,431,1646,1546,788,12,96,96,49,0,26,0,20,0,0,0,0,0,0,0
"id_8",0,75,20,15,72,406,545,0,96,0,1390,63,1010,1178,799,0,0,0,0,0,298,0,0,0,759,0,749,4,376,1260,347,421,1798,8,0,1978,3201,3664,3222,389,238,100,337,706,0,336,166,1051,500,493,1169,1159,0,1127,0,147,767,1043,1733,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_10",0,372,1113,1426,1252,1073,725,143,0,13,63,1339,122,193,162,229,286,196,0,207,581,176,497,108,300,1,401,427,45,15,95,262,384,0,61,75,178,178,288,543,1241,336,1367,672,429,946,1427,234,204,167,255,0,113,148,496,349,72,307,270,346,0,4,606,0,0,66,67,371,166,29,123,660,94,0,0
"id_11",122,46,0,24,26,0,0,0,8,0,0,8,0,0,0,0,0,4,70,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,30,0,0,8,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_12",0,309,250,0,362,384,1068,1271,135,0,0,219,4290,1829,1284,1186,508,510,0,1446,2318,0,175,39,524,0,868,997,1473,2032,2084,1628,2449,956,789,703,1349,3037,1822,702,507,759,137,1405,962,469,47,1551,1235,3690,1049,902,109,997,77,277,674,2353,1743,1271,0,27,1,0,0,29,0,0,0,0,0,0,0,0,0
"id_13",18,1029,776,1205,1339,766,1385,113,1703,29,164,0,485,143,357,157,99,403,0,254,1004,42,103,137,29,22,113,139,333,9,66,31,6,221,215,32,177,63,66,1370,931,690,219,2738,1244,889,1681,769,0,841,267,144,310,730,168,333,52,271,735,636,37,14,219,26,23,63,0,53,0,0,0,503,122,0,0
