"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_9","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_21","id_47"
"id_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
"id_2",0,0,0,0,60,0,0,0,0,0,0,0,0,0,48,343,0,0,180,0,0,0
"id_3",0,0,0,17,0,0,0,0,0,0,0,53,109,0,0,0,0,0,2,0,25,0
"id_4",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0
"id_5",0,60,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,18,0,0,0
"id_6",0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,375,0
"id_7",0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,839,0,0,0,0,6,515
"id_8",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1676,0,0,0,0
"id_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"id_11",0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"id_12",0,0,53,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_13",0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_14",0,0,0,0,0,0,3,0,0,0,0,0,0,0,74,0,0,0,266,0,1253,0
"id_15",0,48,0,0,185,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0
"id_16",0,343,0,0,0,0,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_17",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0
"id_18",0,0,0,0,0,0,0,1676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_19",0,180,2,0,18,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0
"id_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0
"id_21",40,0,25,333,0,375,6,0,0,0,24,0,0,1253,0,0,2,0,0,68,0,0
"id_47",0,0,0,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
