"id","id_1","id_2","id_3","id_4","id_5","id_6","id_71","id_94","id_184","id_344","id_345","id_346","id_347","id_348","id_349","id_350","id_351","id_352","id_354","id_355","id_356","id_357","id_358","id_359"
"id_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_2",0,0,0,44,0,0,0,0,0,0,1390,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_3",0,0,0,0,0,0,0,0,0,0,0,0,8991,0,0,0,0,0,0,0,0,0,0,0
"id_4",0,44,0,0,127,0,0,0,9,0,0,0,2583,0,10,0,0,0,0,0,0,0,0,0
"id_5",0,0,0,127,0,24,0,0,0,0,0,0,0,18,0,0,0,0,16,0,0,0,0,0
"id_6",0,0,0,0,24,0,17,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
"id_71",0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_184",0,0,0,9,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,8,0,0,0,0
"id_344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_345",0,1390,0,0,0,0,0,0,0,0,0,0,2602,0,0,0,0,0,0,0,0,0,0,0
"id_346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_347",0,0,8991,2583,0,0,0,0,0,0,2602,0,0,0,502,0,0,0,0,0,0,0,0,0
"id_348",0,0,0,0,18,0,0,0,0,0,0,0,0,0,39,25,5,0,0,0,0,0,0,0
"id_349",0,0,0,10,0,22,0,0,30,0,0,0,502,39,0,0,0,0,118,0,0,0,0,0
"id_350",0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
"id_351",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"id_352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_354",0,0,0,0,16,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0
"id_355",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
