"id","id_1","id_2","id_4","id_6","id_8","id_11","id_18","id_73","id_74","id_75","id_76","id_77"
"id_1",0,7202,7202,0,0,0,0,0,0,0,0,0
"id_2",7202,0,7202,0,0,0,0,0,0,0,0,0
"id_4",7202,7202,0,0,0,0,0,0,0,0,0,0
"id_6",0,0,0,0,2682,4195,4789,1117,3343,1053,2252,515
"id_8",0,0,0,1937,0,0,4034,7202,1597,7202,7202,0
"id_11",0,0,0,4720,767,0,4673,0,4738,0,0,0
"id_18",0,0,0,5591,4594,4066,0,1094,3696,1020,3281,598
"id_73",0,0,0,287,7202,0,1533,0,10,7202,7202,0
"id_74",0,0,0,5009,1594,4955,4127,0,0,0,1465,0
"id_75",0,0,0,224,7202,0,943,7202,0,0,7202,0
"id_76",0,0,0,1294,7202,0,3143,7202,1515,7202,0,0
"id_77",0,0,0,1092,770,0,570,0,0,0,611,0
