"id","id_1","id_4","id_6","id_8","id_9","id_10","id_14","id_17","id_21","id_22","id_24","id_25","id_26","id_31","id_32","id_35","id_36","id_37","id_38","id_103","id_155","id_237","id_241","id_292","id_317","id_385","id_428","id_470","id_471","id_473","id_475","id_483","id_484","id_488","id_489","id_490","id_501","id_502","id_504","id_505","id_506","id_507","id_509","id_510","id_512","id_513","id_514","id_515","id_516","id_517","id_518","id_519","id_520","id_521","id_522","id_523","id_524","id_525","id_526","id_527","id_528","id_529","id_530","id_531","id_532","id_534","id_535","id_536","id_538","id_539","id_540","id_541","id_542","id_545","id_546","id_547","id_550","id_551","id_552","id_553","id_554","id_555","id_556"
"id_1",0,4185,2678,3604,1504,2573,4564,705,2095,934,0,0,0,2130,75,0,2726,4545,18,1361,76,258,664,227,0,5984,78,111,1699,3336,230,0,2198,61,794,0,1217,0,5809,4640,0,0,0,0,463,0,0,90,0,0,0,0,12,0,0,11,0,40,0,0,0,39,401,0,0,0,53,89,305,0,11,0,0,606,11,0,63,0,0,0,0,0,0
"id_4",3358,0,3372,1642,1414,3122,1849,1922,2087,2088,47,0,27,2169,84,37,4293,2750,192,1724,243,905,682,593,0,1879,552,1101,2908,357,933,279,2306,136,1559,0,2742,41,1881,3547,0,0,0,0,108,236,2,0,617,0,120,64,69,728,0,18,21,204,0,0,926,186,1628,252,111,0,161,310,598,0,195,0,0,758,218,0,0,404,0,0,56,0,0
"id_6",1299,2199,0,223,530,2270,4250,1274,947,3649,0,0,0,893,143,6,1578,974,411,1396,242,555,1186,79,0,289,1268,575,1701,134,876,101,1515,103,2304,0,3974,271,1378,1269,542,65,0,42,2219,307,45,55,391,1020,0,135,341,776,0,143,129,335,5,0,1019,245,2808,423,1625,495,0,667,0,360,382,0,0,1506,359,85,166,0,0,0,248,0,0
"id_8",6339,567,0,0,4048,170,396,383,2319,0,0,0,0,2293,0,0,1470,5749,0,2295,0,0,0,0,0,7206,0,0,0,7206,0,0,3962,0,0,0,938,0,7206,4126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_9",2663,1307,204,6909,0,685,468,18,4795,0,0,0,0,4697,0,0,143,3982,0,4,0,0,0,0,0,5605,0,0,1657,149,67,0,3710,0,0,0,0,0,536,2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_10",2307,2978,2548,896,861,0,2310,3465,804,780,19,0,0,833,0,0,1146,1460,167,642,514,235,1430,1034,777,998,331,435,1450,1549,1784,242,712,98,1992,0,2667,68,1737,565,666,2,0,0,528,231,0,32,922,1206,29,0,413,1058,85,36,56,476,0,66,756,178,2947,351,1229,566,0,335,2,853,0,0,68,500,385,109,132,586,0,0,52,0,0
"id_14",2810,450,3751,496,110,2150,0,1363,51,2411,0,0,0,238,7,0,783,1348,256,1245,168,264,598,476,0,534,0,0,317,2498,710,28,813,473,1439,0,1598,0,2903,1466,0,0,0,0,1764,241,0,159,208,189,0,0,41,0,0,1,0,262,39,0,0,12,894,34,326,0,0,548,0,0,0,0,0,529,0,0,80,0,0,0,43,0,0
"id_17",138,1003,971,37,149,2777,766,0,250,1297,0,0,0,295,99,0,660,169,270,2030,952,668,3020,1426,827,193,1412,213,295,333,2333,723,508,995,3379,0,3887,1958,595,498,1501,0,166,66,481,898,0,0,1373,1961,210,218,720,1207,1000,84,151,409,94,484,1486,68,4466,1226,1896,1248,624,959,392,1447,274,24,1172,731,1146,208,94,283,0,0,277,0,0
"id_21",2425,2310,829,3643,4952,1142,0,198,0,830,0,0,0,5211,0,0,1766,3383,0,0,0,0,0,0,0,3455,0,0,4566,0,363,0,515,0,0,0,0,0,368,1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,45,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0
"id_22",886,2197,3448,138,10,1399,2548,1680,840,0,0,0,0,1553,0,0,4300,973,0,2835,0,749,1408,66,127,1924,516,1511,628,2290,150,0,1302,0,966,0,3084,371,2657,4497,629,0,130,0,793,0,0,0,247,1177,0,0,0,794,282,0,0,0,0,44,602,0,615,135,1333,647,113,269,463,772,0,0,257,1193,846,0,0,30,0,0,0,0,0
"id_24",31,8,0,0,0,0,0,0,0,0,0,172,182,0,173,155,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,105,0,0,0,0,0,239,0,0,0,0,25,0,0,0,0,0,0,0,0,246,136,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,34,155,52,0
"id_25",0,0,0,0,0,0,0,0,0,0,145,0,120,0,105,91,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,110,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,155,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,68,108,72,0
"id_26",9,0,0,0,0,0,0,0,0,0,252,138,0,0,307,360,0,0,95,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,62,110,0,0,0,0,0,374,0,0,0,0,144,0,0,0,0,0,51,0,0,351,334,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,50,152,60,92
"id_31",2595,2121,940,3908,4614,872,430,519,4447,1492,0,0,0,0,0,0,4825,4389,58,234,20,0,0,0,0,2752,0,2053,2949,122,126,0,2669,0,143,0,579,0,595,3143,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,51,37,0,520,0,640,0,0,0,0,0,142,0,0,55,0,443,25,0,0,0,0,0,0,0,0
"id_32",73,8,21,0,0,0,20,0,0,0,220,158,327,0,0,505,37,33,564,2,0,0,0,0,0,22,0,0,0,0,165,0,0,0,270,79,0,0,32,40,0,459,0,229,0,0,196,0,0,0,0,0,380,0,0,589,514,0,0,0,0,506,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,500,0,147
"id_35",32,0,0,0,0,0,0,0,0,6,242,155,372,0,508,0,24,0,225,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,91,87,0,0,5,20,0,491,0,28,0,0,203,0,0,0,0,0,135,0,0,369,220,0,0,0,0,312,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,35,214,43,194
"id_36",2317,3578,2407,1490,1124,1284,788,756,1977,3623,7,34,0,4122,62,70,0,2746,1,1497,0,30,13,0,0,2013,145,2380,2641,1470,34,0,1472,0,366,5,1999,33,2262,4055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,1020,0,1109,0,8,10,0,0,828,0,0,0,0,560,435,0,0,0,0,0,5,0,0
"id_37",5731,3754,551,6092,4693,1219,948,302,3371,1191,0,0,0,5334,0,0,3849,0,0,1106,0,309,0,0,0,6150,0,431,1779,2528,18,0,4540,0,16,0,151,0,5077,5723,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,36,79,0,82,0,0,0,59,0,0,0,0,510,0,0,0,0,0,0,0,0,0
"id_38",72,163,49,0,0,46,52,84,0,15,167,54,298,27,604,366,22,60,0,9,225,0,0,0,0,6,0,0,16,0,497,0,0,0,938,13,5,0,11,80,0,383,0,253,0,0,172,344,0,0,0,0,911,0,0,440,545,416,336,0,0,539,636,0,0,0,0,0,0,0,0,321,0,0,0,0,293,0,44,0,784,0,98
"id_103",564,945,1653,492,0,529,2467,2014,0,2558,0,0,0,159,0,0,1425,222,0,0,17,745,1472,449,248,815,0,451,100,2259,1516,0,429,820,1316,0,2523,0,2549,2354,0,0,0,0,0,87,0,0,1157,61,0,0,0,975,0,0,0,0,0,251,192,0,1802,793,95,0,0,748,0,0,0,0,0,0,0,0,0,607,0,0,0,0,0
"id_155",0,157,103,0,0,119,55,271,0,9,0,0,0,39,0,0,3,0,428,10,0,24,81,0,0,0,0,0,20,0,1082,623,0,0,994,0,314,0,6,0,0,0,0,0,0,761,0,339,77,0,185,0,839,0,0,0,0,898,227,92,0,0,1138,131,0,0,0,98,0,0,0,301,0,0,0,255,350,0,0,0,92,0,0
"id_237",286,808,402,0,0,188,163,748,0,513,0,0,0,0,0,0,695,224,0,665,24,0,764,569,109,47,0,419,0,34,913,230,0,57,899,0,933,0,121,454,99,0,0,0,85,324,0,0,559,114,0,0,0,844,0,0,0,0,0,380,259,0,944,660,198,0,0,235,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0
"id_241",156,390,0,0,0,1308,377,2948,0,693,0,0,0,0,0,0,239,0,0,1469,78,749,0,1487,999,0,1109,179,0,0,1609,198,1476,751,1034,0,1232,1248,0,302,1947,0,0,0,1101,197,0,0,1105,1860,0,0,0,1327,1002,0,0,0,0,507,833,0,2027,1000,1414,1154,129,561,199,1238,43,0,257,1275,1203,0,0,608,0,0,0,0,0
"id_292",9,414,0,0,0,732,369,1214,0,0,0,0,0,0,0,0,223,7,0,719,0,857,387,0,1250,0,84,43,0,0,494,0,212,197,1092,0,1065,600,0,5,1022,0,0,0,595,0,0,0,146,974,0,0,0,1003,0,0,0,0,0,0,293,0,856,0,694,344,0,0,0,431,0,0,0,222,235,0,0,99,0,0,0,0,0
"id_317",0,0,0,0,0,860,0,640,0,1,0,0,0,0,0,0,0,0,0,181,0,4,616,1254,0,0,0,0,0,0,164,0,535,0,953,0,642,435,0,0,791,0,0,0,516,0,0,0,0,816,0,0,0,752,0,0,0,0,0,0,60,0,336,0,556,193,0,0,0,405,0,0,0,325,185,0,0,0,0,0,0,0,0
"id_385",7155,4503,1388,7206,4331,1499,2009,64,3831,601,0,0,0,4110,50,0,3393,6348,55,2294,0,137,0,0,0,0,0,0,1296,4879,5,0,4460,0,381,0,635,0,7206,6215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,49,309,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,19,0,0
"id_428",0,116,854,0,0,212,15,1425,0,647,0,0,0,0,0,0,91,37,0,0,0,0,1049,88,0,0,0,56,314,0,0,0,1056,0,0,0,1095,1617,0,135,821,0,109,0,704,0,0,0,0,852,0,279,0,0,799,0,0,0,0,0,1594,0,1259,0,1033,733,578,0,496,886,444,0,785,1065,1063,0,0,0,0,0,0,0,0
"id_470",61,1302,1185,0,73,443,0,117,140,1959,0,0,0,2059,0,0,2714,661,0,125,0,377,182,66,0,0,16,0,1880,0,186,0,67,50,375,0,939,39,0,883,0,0,64,0,0,0,0,0,82,0,0,54,0,579,0,0,0,0,0,0,1026,0,1004,0,0,0,67,0,111,0,47,0,33,478,87,0,0,41,0,0,0,0,0
"id_471",1913,3323,2049,1151,3863,2131,811,641,4722,603,0,0,0,4629,0,0,2604,1373,45,63,46,0,0,0,0,704,265,611,0,219,651,0,832,0,217,0,978,156,420,1437,0,0,0,0,238,0,0,34,0,0,0,0,3,0,0,0,0,31,36,0,504,0,545,0,0,0,0,0,253,0,160,0,94,831,86,0,0,0,0,0,70,0,0
"id_473",4014,193,316,6112,0,949,1067,450,0,2020,0,0,0,70,0,0,1581,2770,0,2531,0,0,0,0,0,7189,0,0,8,0,0,0,2814,0,0,0,1045,0,7206,3912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_475",90,352,669,3,188,1012,394,1715,291,27,0,0,150,280,241,142,0,93,689,1561,1084,815,1316,303,231,0,0,270,579,0,0,983,0,707,2198,0,1085,0,29,14,34,205,0,0,0,1074,156,351,1129,77,172,0,928,624,0,220,283,869,191,551,188,395,2674,1122,170,0,0,882,0,0,0,230,0,0,0,257,372,357,0,0,170,0,2
"id_483",0,199,88,0,0,86,30,414,0,2,0,0,0,0,0,0,17,0,0,0,687,233,206,0,0,0,0,0,0,0,941,0,0,0,640,0,446,0,0,0,0,0,0,0,0,939,0,0,274,0,216,0,194,0,0,0,0,267,0,311,0,0,850,455,0,0,0,394,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0
"id_484",2684,1348,953,3924,114,1062,1155,1395,406,1311,0,0,0,668,0,0,2588,4236,0,2300,0,0,2173,642,743,4073,1268,106,528,3878,0,0,0,0,228,0,1884,1289,3901,4127,1119,0,175,0,1363,0,0,0,0,1430,0,148,0,338,652,0,0,0,0,0,1102,0,989,0,1650,501,468,0,958,752,178,0,569,1896,1087,0,0,0,0,0,0,0,0
"id_488",1,0,145,0,0,12,286,857,0,0,0,0,0,0,0,0,0,0,0,816,0,109,718,196,0,0,0,136,0,0,633,0,0,0,768,0,321,0,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,409,0,0,0,0,0,9,0,0,582,353,0,0,0,150,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0
"id_489",345,1023,1177,21,7,1371,983,2542,0,498,36,65,172,63,432,266,394,146,1116,1635,1234,702,1084,1034,874,198,0,452,20,124,2742,624,75,889,0,10,2316,81,443,364,636,219,0,115,350,647,180,354,792,592,199,0,1086,1695,0,322,646,967,345,0,281,321,3595,629,656,55,0,726,0,162,0,357,0,296,0,250,372,347,0,0,672,0,0
"id_490",0,0,0,0,0,0,0,0,0,0,80,85,94,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,93,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,70,110,73,0
"id_501",340,1344,1738,772,0,2598,1254,4421,0,1665,0,0,0,719,0,0,1426,548,156,2583,862,1198,2095,1210,679,855,829,1090,428,926,2268,767,1571,589,2711,0,0,1565,1066,1311,795,0,179,0,514,880,0,251,1487,1151,210,309,305,1681,527,0,0,463,16,428,2099,0,4897,1193,2101,561,258,922,615,550,296,0,570,774,497,96,176,596,0,0,0,0,0
"id_502",0,0,0,0,0,0,0,1602,0,276,0,0,0,0,0,0,0,0,0,0,0,0,1637,690,455,0,1412,42,7,0,0,0,785,0,81,0,1269,0,0,0,1242,0,236,0,489,0,0,0,0,1218,0,269,0,65,812,0,0,0,0,0,1265,0,993,0,901,1098,668,0,709,1207,402,0,1419,825,1340,0,0,0,0,0,0,0,0
"id_504",6289,1927,1639,6739,305,1061,2381,924,974,1247,0,0,0,801,71,0,1996,5306,66,2553,0,0,0,0,0,7206,0,0,323,6369,39,0,2548,0,809,0,1292,0,0,4591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
