"id","id_1","id_3","id_4","id_5","id_6","id_7","id_8","id_9","id_10","id_11","id_12","id_14","id_15","id_17","id_20","id_21","id_22","id_23","id_24","id_25","id_26","id_28","id_29","id_30","id_31","id_32","id_33","id_34","id_36","id_37","id_113","id_235","id_236","id_237","id_238","id_239","id_240","id_241"
"id_1",0,0,0,0,195,0,141,343,0,0,0,0,0,0,0,0,0,172,2868,761,178,0,0,0,0,0,1214,2576,215,1486,856,1079,0,1815,0,3105,496,0
"id_3",1637,0,7692,6784,2717,7146,5590,2548,4346,1694,3517,3446,3286,2863,837,1292,801,2840,3956,0,352,1162,0,2426,859,1538,5281,1071,5145,635,5050,751,0,2890,3368,2619,553,1538
"id_4",478,7600,0,7941,2814,8029,6816,727,4391,1177,1835,2862,3343,1369,228,1517,1512,2090,4037,257,227,746,22,560,946,97,1485,738,5786,1463,5714,1316,0,2747,3249,2293,188,518
"id_5",0,7075,8012,0,4655,6848,6858,1862,4062,1915,621,679,1193,1458,1683,1250,1514,1888,1864,605,328,2201,1136,3042,667,748,840,336,6108,1113,5950,842,571,2050,2948,1154,1297,788
"id_6",91,3429,2403,5213,0,4413,4193,5368,7014,4835,3895,4310,4024,3178,3825,5180,2273,3006,1756,3648,1779,4164,3149,2176,1507,322,2425,2007,2417,1859,1192,618,1619,2850,4294,1217,4420,1638
"id_7",0,7348,7519,7107,4970,0,7086,3572,5315,5073,7332,7394,3624,2335,0,1787,477,4106,1037,0,334,1219,0,1844,1616,1189,1744,874,4108,480,5571,691,0,2675,2200,1676,458,1811
"id_8",200,4473,4710,4700,4284,6925,0,2377,2581,2465,3002,2940,767,1809,978,491,1336,3473,4510,0,370,169,0,1132,818,0,6750,2629,3839,1925,6910,3576,0,5895,769,3488,1365,714
"id_9",18,1552,590,1749,6917,1546,2658,0,5932,5514,419,4039,5060,5287,4666,7103,7599,3693,2856,4063,2122,5928,1760,2625,3219,3045,1874,2160,2363,5443,206,766,1128,2844,4607,1947,5012,2373
"id_10",0,4769,4931,5435,5641,4353,4264,4616,0,5653,4356,5114,5817,3345,3104,4715,3301,4224,1952,2232,1320,3042,2112,3208,1088,1442,1592,2173,4737,2852,415,373,1788,1472,5226,816,2579,2189
"id_11",0,5351,4409,4946,4096,3868,2914,4502,4555,0,6039,6315,6978,8035,3654,3047,1491,1784,245,344,581,3182,1069,4297,2256,4662,783,127,2523,379,0,0,1606,0,5548,0,5658,2847
"id_12",0,3594,1319,3203,2657,1587,940,146,4112,4735,0,8902,8879,8624,86,882,0,1063,2,0,0,2,0,2366,1253,412,0,2,3392,0,0,132,99,2,4201,1788,2129,3424
"id_14",0,4191,4221,4531,4642,5247,1329,2937,4035,7028,8591,0,6166,7427,56,2623,741,2135,195,328,503,1840,0,3700,2043,3091,122,72,2567,700,0,311,0,590,4657,2028,2255,2384
"id_15",0,3738,1600,1934,5853,1272,248,6826,7367,7516,3082,8351,0,8991,4085,7336,4496,2994,9,1753,471,7043,2414,6116,4665,6603,11,1035,1540,2067,0,726,1346,1531,5923,904,3692,5318
"id_17",0,2427,2015,2172,7201,2842,2245,7809,7840,7651,2398,7882,8991,0,4675,6899,5174,3159,67,2328,778,6540,1430,6224,3071,6660,203,1046,613,1696,0,475,1801,831,5264,807,7694,4095
