"id","id_2","id_3","id_4","id_5","id_6","id_7","id_9","id_10","id_11","id_12","id_14","id_15","id_16","id_17","id_18","id_19","id_21","id_22","id_23","id_24","id_25","id_26","id_27","id_28","id_30","id_31","id_32","id_33","id_34","id_35","id_36","id_37","id_38","id_39","id_40","id_41","id_42","id_43","id_46","id_47","id_48","id_49","id_51","id_53","id_54","id_55","id_56","id_58","id_59","id_60","id_61","id_62","id_64","id_66","id_67","id_68","id_69","id_70","id_71","id_72","id_73","id_74","id_75","id_76","id_77","id_78","id_79","id_80","id_81","id_82","id_84","id_85","id_86","id_87","id_88","id_89","id_90","id_91","id_111","id_114","id_162","id_168","id_177","id_194","id_216","id_221","id_233","id_251","id_256","id_286","id_287","id_288","id_289"
"id_2",0,0,0,1893,2028,0,1766,1850,2009,2505,1908,321,107,2771,0,0,0,0,0,3144,0,0,1368,199,0,132,0,0,0,4410,0,0,0,1039,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,191,0,0,0,120,0,0,0,2470,0,0,5365,0,501
"id_3",0,0,3545,0,2654,180,2189,0,0,0,0,0,0,0,0,0,0,0,0,641,0,0,1798,0,1000,609,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,7163,0,0,0,0,0,0,0,0,0,5943,0,610,353,0,0,0,0,0,0,0,3394,0,7059,5513,2221,0
"id_4",0,3857,0,3478,1665,1024,650,0,0,0,0,0,0,0,0,0,0,0,0,2595,0,0,153,0,527,1357,0,0,0,0,0,0,0,108,121,438,1428,1649,0,1414,1699,1415,411,265,234,296,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3638,0,0,0,0,0,0,1604,0,0,4131,0,0,192,3280,850,1557,0,0,0,0,266,0,298,75,1684,648
"id_5",814,385,3232,0,2034,2911,2419,355,866,2167,2362,311,160,1377,0,0,0,0,0,291,0,0,1078,3313,698,592,852,1289,3068,2288,136,137,95,1448,613,589,4857,3690,0,2023,3416,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,53,0,0,2779,0,36,610,3425,6097,59,3311,0,0,0,2441,0,328,1986,556,903
"id_6",2036,4226,3607,1159,0,45,2261,514,883,1266,201,282,219,1874,0,0,0,0,0,0,0,0,810,75,288,1146,0,0,0,2167,0,0,0,2205,30,7,2023,2939,288,48,54,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3993,0,0,0,0,0,0,0,0,0,0,4516,0,0,0,0,0,0,0,0,0,3570,0,2632,381,1095,1735,0,0,0,0,0,4932,0,2189,1720,3849,209
"id_7",0,226,3152,2811,163,0,156,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,850,0,482,1210,0,31,79,0,32,33,0,3687,1668,4692,6501,6388,0,5648,6850,6411,4771,3530,3779,1415,262,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,3359,0,0,1678,0,0,457,6795,4696,6313,38,0,0,0,343,0,134,292,2039,546
"id_9",1873,2169,280,2368,3571,81,0,3690,4720,4769,4772,3315,2893,3490,0,0,0,0,14,3162,0,135,1493,2641,1026,202,324,378,468,4311,89,91,0,1190,132,0,252,231,2526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099,0,0,0,0,0,0,0,0,0,0,2134,0,0,0,0,0,0,0,0,0,238,0,3251,464,0,289,0,796,0,0,0,4180,0,2099,2047,2259,725
"id_10",2896,0,0,0,2217,0,1608,0,7200,7200,7200,7200,7200,4785,0,3415,0,48,0,3184,0,7200,495,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,0,789,0,0,0,0,0,0,0,0,0,0,0,0,715
"id_11",1860,0,0,2271,1607,0,4685,7200,0,6123,7200,7200,7200,4654,0,2234,0,2272,6164,340,0,7200,3882,7200,263,72,0,0,0,6570,0,0,0,825,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967,0,0,0,3739,0,0,0,0,0,0,0,0,2721
"id_12",376,0,0,2492,204,0,2532,7200,6123,0,6928,7200,7198,2198,0,1338,0,651,7198,356,449,7198,3969,7200,3759,251,5249,5198,3635,7200,0,0,0,455,0,0,0,0,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,0,169,0,5842,0,0,0,752,0,0,2,8,1636
"id_14",114,0,0,3390,93,0,2517,7200,7200,6928,0,7200,7200,619,0,0,0,0,7200,292,6025,7200,4376,7200,581,186,7200,6325,770,5297,0,0,0,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,612,0,0,0,7200,0,0,0,49,0,0,0,0,3103
"id_15",560,0,0,3110,220,0,4712,7200,7200,7200,7200,0,5141,1770,0,1827,0,206,7200,338,3216,7200,3897,7200,346,133,2,0,0,7133,0,0,0,326,0,0,0,0,3581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,0,0,0,5922,0,0,0,0,0,0,0,0,3098
"id_16",0,0,0,0,190,0,2530,7200,7200,7200,6524,5141,0,4398,7200,4091,0,7200,7200,0,0,7200,3449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,0,793,0,0,0,0,0,0,0,0,0,0,0,0,1919
"id_17",3758,27,0,482,1913,0,2522,2566,2316,2195,1293,3763,4132,0,2322,2101,2279,2628,2151,774,0,2331,738,0,564,222,0,0,0,3851,0,0,0,281,0,0,0,0,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2779,211,0,0,0,0,0,0,0,2456,0,0,2330,178,1834
"id_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7091,7200,7200,7200,0,7200,6787,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989,0,1751,0,0,0,0,0,0,0,0,7200,0,0,0,2314
"id_19",0,0,0,0,0,0,0,4048,4040,3682,3832,4144,4188,3945,7091,0,6892,3198,7200,0,3916,7200,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,0,1100,0,0,0,0,0,0,0,0,925,0,0,0,2085
