"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_10","id_11","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_22","id_24","id_28","id_29","id_33","id_35","id_39","id_45","id_46","id_47","id_48","id_49","id_50","id_55","id_69","id_105","id_117","id_119","id_133","id_165","id_203","id_214","id_276","id_304","id_473","id_479","id_641","id_746","id_748","id_749","id_750","id_751","id_752","id_753","id_754","id_755","id_756","id_757","id_758","id_759","id_760","id_761","id_762","id_763","id_764","id_765","id_766","id_767","id_768","id_769","id_770","id_771","id_772","id_773","id_774","id_775","id_776","id_777","id_778"
"id_1",0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_2",7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_3",0,0,0,6982,891,6058,7200,495,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,0,0,1623,0,0,1415,4651,7200,5643,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_4",0,0,6982,0,6584,7200,7182,3965,0,0,0,0,0,0,0,0,0,0,0,0,0,1899,0,0,2343,0,0,821,251,7200,5648,0,0,0,0,0,1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_5",0,0,5763,6598,0,6923,6651,3867,0,0,0,0,0,0,0,0,0,0,0,0,267,1084,0,0,885,2266,0,0,0,30,361,0,0,0,0,0,1878,0,0,0,0,565,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,1726,279,0,0,2184,474,0,0,0,0,0,0,0,0,0,0,0,0
"id_6",0,0,6964,7200,6901,0,7163,4062,0,0,0,0,0,0,0,0,0,0,0,0,0,1769,0,0,2720,7200,0,681,0,4792,4863,0,0,0,0,0,2002,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6867,0,0,0,5807,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_7",0,0,7200,7182,6551,7163,0,4048,0,0,0,0,0,0,0,0,0,0,0,0,0,2228,0,0,2697,7194,0,781,0,3115,2039,0,0,0,0,0,2021,0,0,0,0,3788,3251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,5620,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_8",0,0,616,3929,3658,3925,4007,0,0,0,272,0,0,0,0,0,0,0,0,0,0,628,0,760,0,3696,306,282,376,464,512,0,0,0,0,0,2206,0,0,0,0,3565,3357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3746,0,0,0,3516,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_10",0,0,0,0,0,0,0,0,0,2,0,56,107,92,104,47,55,109,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_11",0,0,0,0,0,0,0,0,12,0,0,206,0,0,0,0,0,0,2106,0,3833,681,628,0,447,0,0,0,0,0,0,1238,1083,1151,240,843,1223,321,2165,2803,2149,44,1038,3010,0,811,0,0,1049,0,0,0,0,0,0,45,160,1137,868,0,926,4587,4274,0,286,189,0,0,0,67,71,0,283,0,0,91,0
