"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_9","id_10","id_11","id_15","id_23","id_25"
"id_1",0,8991,0,0,0,0,0,0,441,0,0,0,0,0
"id_2",8991,0,0,0,0,0,0,0,330,0,0,0,0,0
"id_3",0,0,0,8919,2,0,0,0,250,0,0,0,0,0
"id_4",0,0,8991,0,6,0,0,7,256,0,0,0,0,0
"id_5",0,0,0,0,0,0,8991,7153,0,0,0,8991,33,0
"id_6",0,0,0,0,0,0,0,0,0,0,4795,0,4868,0
"id_7",0,0,0,0,8991,7411,0,8291,0,0,8991,8942,8991,0
"id_8",0,0,0,111,6790,2079,6728,0,0,1738,7996,5165,8813,1422
"id_9",4302,718,323,700,0,0,0,0,0,6148,0,0,0,3916
"id_10",0,0,0,0,0,8991,0,6085,3913,0,8991,3991,8989,8991
"id_11",0,0,0,0,0,8991,1007,7996,285,8991,0,8991,7925,1248
"id_15",0,0,0,0,8989,74,8942,5165,0,0,8991,0,8991,0
"id_23",0,0,0,0,0,8991,5520,8813,0,8967,7925,8991,0,0
"id_25",0,0,0,0,0,0,0,0,4114,8991,0,0,0,0
