"id","id_1","id_2","id_3","id_4","id_5","id_7","id_8","id_9","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_21","id_23","id_24","id_25","id_26","id_27","id_28","id_29","id_30","id_31","id_32","id_33","id_34","id_36","id_37","id_38","id_39","id_40","id_41","id_42","id_46","id_47","id_48","id_49","id_50","id_54","id_56","id_59","id_62","id_66","id_68","id_69","id_70","id_71","id_80","id_81","id_82","id_85","id_86","id_88","id_89","id_90","id_173","id_288","id_344","id_459","id_544","id_674","id_675","id_676","id_678","id_679","id_680","id_681","id_682","id_683","id_684","id_685","id_686","id_687","id_688","id_689","id_690","id_692","id_694","id_695","id_696","id_697","id_698","id_700","id_701","id_702","id_703","id_704","id_706","id_708","id_709","id_710","id_711","id_712","id_713","id_715","id_716","id_717","id_718","id_719","id_720","id_721","id_722","id_724","id_725","id_726","id_727","id_728","id_730","id_731","id_732","id_734","id_735","id_736","id_737"
"id_1",0,7161,945,1382,1232,1160,876,2698,0,0,734,6917,0,0,0,0,0,0,0,39,3693,0,6722,922,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3201,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,4425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,7179,0,0,648,3684,4019,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,0,0,0,0
"id_2",7200,0,350,69,1496,21,0,1531,0,0,564,2984,0,0,0,0,0,0,0,0,5912,0,5745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,955,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,6648,0,0,289,1143,4061,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0
"id_3",1063,252,0,118,7126,2527,1091,1284,5964,0,257,460,0,0,0,0,2,0,0,1606,0,0,512,0,0,0,0,0,0,0,0,0,0,0,825,0,0,0,1915,0,0,0,0,0,0,0,0,0,5348,0,0,0,408,0,0,0,0,5,0,6405,0,5206,0,600,0,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,44,0,1860,0,646,273,2517,0,0,0,3410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,219,0,119,0,0
"id_4",395,281,395,0,402,532,6273,3768,0,0,7,171,0,1938,0,0,0,0,0,379,0,6790,255,375,946,780,410,2659,611,1469,3181,6431,1028,280,0,0,4622,152,198,6224,0,0,0,0,0,0,923,4896,0,0,1655,11,117,0,2430,0,0,0,0,0,0,27,0,0,843,246,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,135,0,0,733,0,0,3949,4345,325,41,0,0,1800,0,0,0,0,0,0,0,10,3488,0,0,0,0,0,0,2251,0,0,0,0,247,0,231,0,0
"id_5",1414,685,7023,432,0,2887,1986,2819,1620,0,530,445,249,0,0,197,0,0,0,2859,0,0,564,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,4240,0,0,0,0,0,0,0,0,0,4447,0,0,0,430,0,0,0,0,0,0,6183,0,4225,0,536,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,2019,0,487,335,2405,0,0,0,1214,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,614,0,0,0,0
"id_7",325,0,6674,292,7200,0,6191,3016,7200,0,685,172,0,0,0,0,0,0,0,7200,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,5320,0,0,0,4223,0,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,48,0,1537,0,87,393,1907,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,570,0,0,0,0
"id_8",2045,54,909,5924,426,7021,0,3219,21,371,924,0,1729,1,0,0,0,131,199,5368,0,6688,5921,0,193,1452,0,0,0,0,0,434,0,0,0,0,0,0,0,177,0,0,0,0,0,0,211,82,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,364,0,4606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,989,0,0,2837,2715,2617,0,0,0,484,29,0,0,0,0,0,30,0,1013,0,0,0,0,0,44,0,0,0,0,0,948,0,0,0,0
"id_9",3067,1376,1893,2481,2147,2950,3845,0,198,0,854,1034,2062,3051,0,150,0,0,208,2691,132,3655,2344,149,0,47,0,0,0,336,1041,3424,1199,900,0,534,2959,562,1097,3009,0,0,0,0,0,247,964,2829,195,0,2916,551,397,0,3218,0,0,0,0,546,929,860,0,328,0,1245,0,0,737,662,48,26,0,0,0,0,0,0,0,2312,560,597,243,680,1874,0,0,652,2791,828,0,0,0,295,871,0,0,1072,28,0,13,144,3331,0,0,1634,0,0,7,3093,684,0,0,505,708,268,75,0,941
"id_10",0,0,2797,0,2122,7199,583,327,0,3037,1764,0,1859,145,0,4475,746,247,246,6799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,92,0,0,698,209,0,0,3,405,0,0,0,0,0,0,5591,31,0,0,4801,0,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,141,118,0,135,0,433,18,922,0,0,0,574,4311,0,0,0,0,0,0,0,0,43,0,0,0,0,0,408,0,0,0,0,1,860,0,41,0,0
"id_11",0,0,0,0,0,228,496,0,1252,0,2547,0,2179,1582,5082,5507,2497,1235,53,752,0,554,0,0,0,0,0,0,0,0,0,0,0,0,2726,1511,0,313,0,64,0,0,0,2136,471,0,737,990,0,457,1330,1244,258,588,643,433,1565,920,4395,630,2143,0,0,2816,0,363,390,288,677,0,1535,3141,0,0,0,151,0,89,0,599,1085,173,1273,1393,0,243,3734,948,0,0,603,2648,2246,2145,39,57,315,90,485,1661,70,0,660,234,483,31,2028,932,503,29,112,224,1035,1305,970,1858,2162,0,0
