"id","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107"
"1",0,934,218,6213,169,0,0,0,0,0,0,0,0,0,0,0,987,1761,0,0,0,0,0,1074,1464,1025,0,0,0,101,154,4007,2937,569,1839,5296,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,6499,1814,3522,839,0,0,834,0,420,2325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",990,0,3780,3346,1264,1116,947,1942,1610,171,195,386,592,0,0,1049,1311,720,0,0,0,105,0,0,1104,700,41,1019,1738,1596,2064,3192,2453,0,0,1033,0,0,0,0,0,0,0,0,1738,0,0,0,0,435,510,0,552,735,0,1177,772,0,64,0,0,22,0,703,46,700,1021,269,61,53,26,86,324,292,3066,0,11,724,562,0,1085,3484,2,1139,1432,948,0,126,533,2,0,145,1403,28,51,188,459,949,336,90,68,298,685,0,70,35,1586
"3",285,5407,0,2548,563,743,526,3364,658,246,1778,0,0,0,0,73,3644,805,0,0,0,1664,0,0,3310,2392,14,3037,163,897,840,688,1439,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,1757,1,0,159,0,0,1101,4,2415,0,350,1092,0,0,80,18,78,643,0,1698,0,0,263,155,0,2818,3697,241,2005,2462,1497,0,1884,2262,1125,1079,585,2672,2055,2135,2152,2362,2384,1592,663,11,263,315,0,0,0,2343
"4",4848,3754,1854,0,1688,0,0,0,0,9,0,0,0,0,0,0,2326,2393,0,0,0,0,0,159,2372,0,0,0,0,0,2447,4784,3151,0,256,3868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,1424,4185,469,317,0,0,594,0,1931,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,82,252,1180,0,1714,0,0,0,2824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,3041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,7210,0,0,401,0,0,0,0,0,3745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,42,785,0,557,0,3383,0,0,5177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,7210,1920,0,0,5836,0,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1963,0,0,0,0,0,0,0,0,0,0,2327,234,613,6686,7210,7210,6842,0,0,0,0,5037,855,0,0,2289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,996,1553,0,0,4737,0,745,0,3348,2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1715,2476,0,0,722,0,1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2334,0,0,0,0,0,84,17,110,2510,4888,4249,3560,3631,3254,2773,2139,1732,0,343,0,0,4979,5051,0,156,1599,0,0,0,0,0,0,0,0,0,0,60,60,67,191,2581,279,2604,2514,2502,2693,3961,2196,2718,2391,95
"8",0,1281,394,103,0,115,69,0,2593,960,771,2369,2920,0,411,2772,1660,1494,0,0,0,527,0,0,1593,3850,0,228,4339,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2163,2023,1965,2150,2516,2240,2873,2644,2940,4162,2679,321,4300,2114,2785,0,0,7,0,2832,0,75,268,0,0,0,0,0,0,0,1949,0,0,1111,1,0,4056,0,294,5162,3235,4067,277,508,3062,354,372,2812,3502,747,815,869,1072,1758,785,13,1,1,38,0,1,0,5371
"9",0,932,378,0,0,0,0,880,0,348,0,1162,320,2090,0,5837,634,2802,3415,0,0,0,0,1100,917,2756,0,0,1513,6791,0,0,0,1452,0,560,0,5189,3711,2597,3483,294,1446,483,5277,718,113,311,0,782,353,0,440,354,0,413,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,0,4870,0,0,1305,1253,0,1360,327,469,143,0,0,0,0,0,0,368,0,0,0,0,14,0,0,0,0,0,0,0,0,503
"10",0,117,1027,177,2743,5336,1626,414,696,0,335,0,11,0,0,0,574,0,0,0,0,88,0,0,0,402,4808,998,14,514,3532,0,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,2137,165,0,51,0,0,88,0,829,27,1123,2875,961,1442,2391,4828,4162,2081,0,1221,0,0,3268,1570,0,1749,1126,0,655,776,368,0,254,660,80,80,78,835,300,333,378,599,960,389,205,74,261,1246,0,589,0,361
"11",0,194,1679,0,0,0,2815,890,0,298,0,0,0,0,0,0,0,0,0,0,7210,2060,0,0,0,0,0,2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3227,0,0,0,0,7210,7210,7210,7210,7210,6627,3592,0,0,0,0,0,0,0,0,0,0,977,1695,0,435,1685,0,0,0,0,0,7210,7210,0,0,0,5305,7210,7210,5757,7210,6098,6442,7210,7210,7210,7210,7210,6798,0,1540
"12",0,0,0,0,0,0,0,1,778,0,0,0,2639,0,0,5680,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,5776,5072,0,2993,0,7210,6836,7210,7210,7210,7210,7210,7210,7210,1716,7210,742,255,628,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201
"13",0,0,0,0,0,0,0,2730,2686,57,0,7210,0,0,47,4327,0,0,0,0,0,0,0,0,0,0,0,2,7210,0,0,0,0,0,0,0,0,3752,0,0,0,0,0,0,2270,1279,888,7210,7210,7210,7210,7210,610,5924,7210,921,7210,7210,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,6737,7210,0,0,2,0,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5664
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,7041,0,0,0,0,2404,0,617,0,0,0,0,0,0,0,6353,4945,152,0,1861,3513,3998,6261,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5627,0,0,2746,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,838,0,0,0,0,0,0,0,0,7210,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3378,0,4417,7210,0,4548,7210,7210,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,7210,7210,0,7210,7210,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307
"16",0,1059,0,0,0,0,0,2299,6068,295,0,2073,2896,867,0,0,0,651,1999,0,0,26,0,616,0,2455,0,0,4827,3178,0,0,0,297,92,0,0,5279,1852,1516,1838,1353,1368,735,3882,303,163,279,35,2676,2576,0,3020,2956,106,910,3002,74,1972,0,0,0,0,1626,0,0,0,0,0,0,0,0,0,0,656,0,1999,96,0,785,3486,0,170,3137,3085,2430,0,59,2111,0,0,1992,2656,0,0,0,0,0,0,0,0,0,0,0,0,0,3235
"17",2680,4350,2543,3655,0,0,0,116,58,0,0,0,0,0,0,0,0,7014,0,0,0,0,0,0,7210,583,0,0,0,0,0,0,954,0,0,5215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6366,0,0,0,0,141,794,617,5874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",3337,1824,20,2844,0,0,0,504,2967,0,0,0,0,759,0,733,5777,0,931,0,0,0,0,476,6933,3737,0,0,0,5251,0,205,561,2632,520,4168,0,289,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,4203,1664,2478,0,0,1045,1029,0,6202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,842,0,0,0,0,7041,0,2405,0,311,0,0,0,0,0,1885,1,772,0,0,0,1056,0,0,0,6022,2898,764,0,3337,6561,7210,6812,6234,0,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6175,0,0,6287,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,7210,7210,1563,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,5806,0,0,1510,7210,7210,2214,0,7210,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,2026,0,0,0,7208,0,0,0,0,0,2125,0,7210,0,0,0,0,2115,0,0,0,0,0,0,0,0,2265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5018,5000,0,5095,7210,7210,7210,7210,7210,2063,4948,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,7210,7210,7207,2,7210,5761,3828,7210,1007,7210,7210,2210,0,1695,0,0,0,0,0,0,0,0,4778
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,7210,0,0,0,0,0,1728,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7208,7210,0,7207,7210,7210,5376,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,1901,7210,7210,7210,7210,7210,7210,7208,0,7210,6968,0,0,0,0,0,0,0,0,0,0,0,435
"24",2814,0,0,0,0,0,0,0,161,0,0,0,0,3340,0,673,0,904,1599,0,0,0,0,0,30,1161,0,0,0,1094,0,0,0,6029,5018,938,0,1043,1712,2128,1832,1288,628,161,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3683,0,2067,3123,0,0,4219,0,0,3959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",3761,4168,0,3535,0,0,0,30,58,0,0,0,0,0,0,0,7210,6933,0,0,0,0,0,0,0,2883,0,0,0,5958,0,0,0,0,0,6552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6793,0,70,0,0,901,0,67,6201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1631,1458,1875,0,0,396,213,4002,3684,381,0,0,0,490,0,543,4499,2994,634,0,0,0,0,891,3280,0,0,1,0,3680,170,0,78,2125,841,1215,0,262,0,66,7,0,0,0,42,0,0,0,0,0,0,0,0,0,0,704,0,0,0,0,0,0,0,788,0,0,1668,0,0,0,0,9,47,1453,1229,1690,1473,1024,0,232,3991,525,2589,14,182,0,0,0,31,0,0,0,3706,0,9,4,305,1037,1,0,0,0,0,0,0,0,548
"27",0,0,0,0,0,7045,674,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,0,0,1339,0,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,0,0,0,0,0,0,0,0,0,0,1074,0,506,7210,7159,7210,7097,0,0,0,0,4440,208,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,1679,3254,0,0,2125,4487,5398,0,911,642,0,1706,0,1583,0,225,0,0,28,388,2280,668,0,0,354,912,0,1448,0,794,0,0,0,0,0,250,0,0,0,0,0,0,0,334,0,0,0,0,0,1596,0,1609,1748,1600,2861,1760,1763,1871,436,459,568,401,2852,172,2816,5128,899,897,933,902,601,0,0,323,0,0,1167,1942,0,3178,1500,0,2370,2541,2177,1871,2467,958,2187,2188,1875,3246,2297,2486,637,3426,3273,952,429,374,287,2329,154,81,0,2337
"29",0,1530,87,0,0,0,0,3828,3834,130,0,7210,7210,0,0,5111,0,0,0,0,0,0,0,0,0,379,0,1576,0,5,0,0,0,0,0,0,0,3858,0,0,0,0,113,0,4367,504,3,1248,589,7210,7210,464,7210,7198,1312,737,7192,14,4897,0,0,0,0,58,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,1730,0,21,7061,6879,5657,0,0,2645,0,0,5422,4817,0,0,0,0,0,0,0,0,0,0,0,0,0,5685
