"id","id_3","id_7","id_9","id_11","id_12","id_13","id_15","id_17","id_18","id_19","id_21","id_24","id_25","id_27","id_31","id_32","id_33","id_34","id_35","id_36","id_37","id_39","id_40","id_42","id_51","id_53","id_55","id_56","id_58","id_60","id_61","id_62","id_66","id_68","id_69","id_70","id_71","id_72","id_77","id_82","id_87","id_88","id_90","id_91","id_92","id_93","id_98","id_99","id_100","id_102","id_106","id_108","id_109","id_110","id_111","id_112","id_115","id_116","id_118","id_119","id_120","id_121","id_122","id_123","id_124","id_125","id_126","id_128","id_129","id_130","id_131","id_132","id_133","id_134","id_135","id_136","id_137","id_138","id_139","id_140","id_142","id_145","id_147","id_150","id_152","id_153","id_154","id_155","id_156","id_157","id_158","id_160","id_162","id_163","id_164","id_166","id_168","id_175","id_176","id_177","id_178","id_181","id_184","id_189","id_191","id_192","id_193","id_196","id_203","id_248","id_258","id_276","id_277","id_319","id_322","id_325","id_343","id_370","id_430","id_436","id_438","id_449","id_476","id_519","id_533","id_587","id_607","id_609","id_621","id_638","id_642","id_657","id_675","id_687","id_705","id_738","id_741","id_753","id_789","id_818","id_929","id_941","id_970","id_987","id_1001","id_1077","id_1118","id_1158","id_1203","id_1218","id_1436","id_1437","id_1438","id_1439","id_1440","id_1441","id_1442","id_1445","id_1446","id_1447","id_1448","id_1449","id_1450","id_1451","id_1452","id_1453","id_1454","id_1455","id_1456","id_1457","id_1458","id_1459","id_1460","id_1461","id_1462","id_1463","id_1464","id_1465","id_1466","id_1467","id_1468","id_1469","id_1470","id_1471","id_1472","id_1473","id_1474","id_1475","id_1476","id_1477","id_1478","id_1479","id_1480","id_1481","id_1482","id_1483","id_1484","id_1485","id_1486","id_1487","id_1488","id_1489","id_1490","id_1491","id_1492","id_1493","id_1494","id_1495","id_1496","id_1497","id_1498","id_1499","id_1500","id_1501","id_1502","id_1503","id_1504","id_1505","id_1506","id_1507","id_1508","id_1509","id_1510","id_1511","id_1512","id_1513","id_1514","id_1515","id_1516","id_1517","id_1518","id_1519","id_1520","id_1521","id_1522","id_1523"
"id_3",0,0,0,0,0,0,0,0,0,59,218,127,565,1798,79,0,0,0,0,607,0,0,0,0,0,0,7,0,1678,0,0,0,455,0,1215,32,0,0,261,0,0,0,0,382,0,0,0,0,0,156,0,3647,0,1159,984,5089,71,630,0,2767,83,214,102,0,66,97,630,0,0,0,158,8,4744,1045,3093,0,39,0,0,0,0,293,0,3324,0,451,0,0,0,0,0,1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2418,0,0,332,187,0,0,67,1630,526,0,524,0,0,1104,609,0,2121,1221,277,317,33,299,0,0,0,0,0,1221,0,0,244,16,0,0,2728,0,0,0,174,0,0,0,4521,595,794,0,0,0,0,0,0,0,0,3136,3431,2045,337,0,1,0,0,0,51,0,0,0,0,0,0,0,0,64,0,0,0,39,0,0,0,0,0,0,0,0,0,263,0,0,192,0,344,0,9,0,0,0,0,0,13,269,1010,422,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,151,211,0,0,0,69,0
"id_7",0,0,584,0,0,0,0,0,0,3368,0,3107,0,0,0,0,0,0,0,0,0,0,0,0,3821,3110,254,0,0,0,0,0,0,21,0,0,0,0,0,1731,1796,4501,1199,0,191,0,0,0,0,0,0,0,0,0,0,0,508,0,1582,246,0,158,93,661,0,0,0,0,0,0,0,0,0,0,0,0,2255,0,0,0,799,0,0,0,1292,0,0,0,983,0,0,0,0,0,0,0,2924,0,0,0,0,0,1840,714,928,1351,185,0,0,0,0,2920,143,1289,0,0,0,3619,25,0,0,212,0,1511,0,0,0,0,367,2093,0,0,0,720,0,0,0,0,0,0,0,0,47,0,0,2344,1051,2157,635,0,0,0,0,501,0,1989,0,385,375,5473,2357,0,0,0,0,2749,4974,1484,839,1190,1246,216,79,0,325,202,0,0,181,1506,748,81,0,1635,0,0,0,0,51,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,1912,0
"id_9",0,176,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,536,349,0,0,0,0,0,0,304,0,0,0,0,0,0,0,6,0,0,325,2584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,0,199,0,0,0,0,0,0,0,0,0,0,0,0,159,5325,0,5857,3430,0,0,0,1401,0,0,0,795,0,0,0,0,0,0,0,195,0,0,0,0,0,0,1646,2370,558,300,0,0,136,0,504,163,0,0,0,0,633,0,0,0,0,0,412,0,0,0,0,0,0,0,84,0,0,0,71,0,748,0,0,5360,0,0,0,0,528,0,0,4921,0,0,0,0,967,3739,571,0,0,1413,0,0,0,0,0,0,0,1,262,0,0,0,4000,3307,5928,18,146,706,5912,2134,0,1006,5100,43,799,0,0,0,0,302,5178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_11",0,0,0,0,150,7200,6916,0,7,0,0,0,0,0,789,698,6312,3740,0,0,1094,0,0,0,0,0,1179,7200,0,7200,0,0,0,0,0,6104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,4159,3055,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,522,0,839,0,0,0,0,0,0,753,0,0,1092,0,0,0,0,0,0,0,0,1644,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,293,0,0,0,3654,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_12",0,0,0,3163,0,7072,3860,0,0,0,0,0,0,0,0,0,0,2036,110,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5734,0,0,0,0,0,0,0,5704,598,1427,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3610,0,85,0,0,0,7092,0,0,0,0,7095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_13",0,0,0,7200,1816,0,7200,0,4206,0,0,0,0,0,126,0,255,5932,0,0,874,0,0,0,0,0,1,7196,0,7200,0,0,0,0,0,6180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,2382,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,0,0,102,0,0,0,0,0,0,0,4131,0,0,0,0,0,0,0,0,120,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0,0,0,0,0,7200,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7067,17,1109,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_15",0,0,0,1541,0,7200,0,146,7200,0,0,0,0,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,181,0,0,0,0,4963,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2834,7200,897,7200,923,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_17",0,0,0,0,0,0,0,0,7200,0,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1608,0,0,7143,7169,0,0,0,0,0,0,0,0,0,7200,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6379,0,0,0,0,0,1800,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,0,0,0,0,10,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7107,0,3984,0,0,0,0,7109,7200,0,1026,0,307,7200,7200,7200,6779,0,6210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_18",0,0,0,0,0,7200,7200,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,467,0,144,0,0,0,0,0,0,0,0,0,0,0,6974,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2753,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,0,0,0,0,677,0,0,0,0,0,0,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7188,7200,216,7200,877,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_19",6,1265,0,0,0,0,0,13,82,0,4,304,0,0,257,83,40,0,281,0,148,417,584,177,596,644,4469,132,0,119,0,127,1,0,0,0,0,0,0,0,0,98,0,0,54,0,0,0,0,0,0,0,0,0,0,6,1702,0,0,31,422,642,1096,739,854,699,294,0,210,114,0,0,0,0,0,0,727,0,0,0,122,0,90,0,1268,0,491,536,1451,132,698,149,273,437,283,393,3102,69,190,115,349,232,1241,59,0,1412,163,0,0,882,129,2283,0,77,0,0,0,1061,0,204,413,0,0,3467,0,0,0,0,2388,821,0,1778,101,245,0,1321,0,505,0,1231,125,0,121,0,0,131,1259,2560,1614,389,0,1,0,236,0,39,0,0,694,407,78,0,0,1,0,105,4309,2490,1743,92,592,46,0,0,90,58,18,0,64,189,1221,71,280,1039,619,283,637,8,0,624,303,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,175,0,0,0,0,142,0,303,0,295,218,379,293,0,0,0,0,0,0,0,0,0,0,0,420,775,0
