"id","id_1","id_2","id_3","id_4","id_7","id_11","id_12","id_14","id_18","id_21","id_24","id_29","id_31","id_32","id_33","id_36","id_39","id_44","id_53","id_55","id_58","id_63","id_64","id_65","id_69","id_70","id_71","id_74","id_75","id_76","id_78","id_79","id_81","id_82","id_83","id_84","id_85","id_86","id_87","id_91","id_92","id_93","id_95","id_97","id_99","id_100","id_101","id_104","id_105","id_106","id_108","id_109","id_110","id_111","id_112","id_113","id_114","id_115","id_116","id_117","id_118","id_119","id_120","id_121","id_122","id_123","id_124","id_125","id_126","id_127","id_128","id_130","id_131","id_132","id_133","id_134","id_135","id_137","id_138","id_139","id_140","id_141","id_142","id_143","id_144","id_146","id_147","id_148","id_149","id_151","id_152","id_153","id_154","id_158","id_159","id_160","id_161","id_162","id_163","id_164","id_165","id_166","id_167","id_168","id_169","id_170","id_172","id_173","id_174","id_179","id_180","id_182","id_183","id_184","id_185","id_187","id_198","id_199","id_267","id_281","id_992","id_994","id_1370","id_1372","id_1373","id_1374","id_1375","id_1376","id_1377","id_1378","id_1379","id_1380","id_1383","id_1384","id_1385","id_1388","id_1389","id_1390","id_1392","id_1397","id_1398","id_1399","id_1400","id_1401","id_1402","id_1403","id_1404","id_1405","id_1406","id_1407","id_1408","id_1410","id_1411","id_1412","id_1413","id_1414","id_1415","id_1416","id_1417","id_1418","id_1419","id_1420","id_1421","id_1422","id_1423","id_1424","id_1426","id_1427","id_1430","id_1431","id_1432","id_1433","id_1434","id_1435","id_1436","id_1437","id_1438","id_1439","id_1440","id_1441","id_1442","id_1443","id_1444","id_1445","id_1446","id_1447","id_1448","id_1449","id_1450","id_1451","id_1452","id_1453","id_1454","id_1455","id_1456","id_1457","id_1458","id_1459","id_1460","id_1461","id_1462","id_1463","id_1464","id_1465","id_1466","id_1467","id_1468","id_1469","id_1471","id_1472"
"id_1",0,3754,433,78,0,0,0,0,0,0,4156,0,0,0,0,0,0,0,248,0,962,0,0,349,857,464,122,4176,4552,4536,0,0,0,0,0,31,324,0,5123,239,0,0,468,0,3001,0,0,249,0,541,0,820,0,1353,1092,1,0,0,0,0,1216,0,3862,0,0,3222,0,1368,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,1767,2251,222,360,0,77,1385,0,3422,3298,256,1270,164,852,0,3087,2834,1538,0,450,566,366,0,604,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447,2126,634,0,780,0,0,549,1260,0,70,0,0,0,0,277,0,0,0,0,0,0,0,0,35,0,0,0,0,127,3517,3407,0,1439,0,0,4028,306,0,0,821,607,51,0,2481,279,0,0,136,329,0,0,625,0,0,0,0,0,0,0,0,0,0,547,0,0,305,2680,661,0,568
"id_2",4070,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,216,118,0,0,0,268,117,0,0,0,0,0,0,0,0,4045,101,0,0,1487,0,6662,1318,371,12,586,805,0,570,2263,1283,6615,650,678,1388,0,0,278,0,17,0,2178,869,0,5946,6488,493,5694,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,618,0,0,0,0,0,0,261,126,623,275,0,110,0,0,2433,499,1200,0,0,0,94,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,161,38,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,2444,4407,0,0,104,0,0,0,0,109,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0,1268,0,2806,445,1446
"id_3",57,727,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,1119,547,172,0,0,0,0,0,0,0,0,457,1078,0,0,1511,0,6742,0,222,0,0,0,0,0,630,843,4937,4397,2353,735,6164,4991,1688,1333,0,0,0,3938,2002,4934,6688,319,6052,2405,0,0,0,0,0,0,0,0,0,0,0,2471,0,0,0,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,88,47,0,0,0,0,0,0,3114,0,0,0,14,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,345,6401,2679,423,269,0,0,0,3339,0,0,0,0,0,0,0,0,0,0,0,0,116,126,1152,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,0,2098
"id_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,0,0,0,0,236,0,6321,7210,0,0,0,1190,1160,6628,7074,7210,6379,6516,0,0,0,0,0,0,0,0,0,0,0,0,3540,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,250,6068,0,0,0,0,0,0,0,0,85,1008,0,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,732,699,0,0,0,0,1205,0,6485,256,7210,6188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,0,19,0,140,0,0,0,0,0,0,5863,0,0,67,0,0,965,0,1008,0,196,99,5720,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0,0,727,0,0,0
"id_7",0,0,0,0,0,2024,352,0,0,0,664,1360,5319,4822,865,0,0,0,459,0,109,0,0,0,0,0,0,0,0,0,618,329,0,36,0,0,15,3786,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,877,1551,780,236,0,290,408,0,0,617,457,116,0,0,0,0,0,3143,0,0,492,203,12,3693,1394,1490,4741,3865,174,200,136,40,0,779,0,0,206,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2136,0,4775,513,44,0,0,132,0,0,0,583,2372,3337,511,200,1227,2550,1346,433,0,1120,479,469,84,0,82,0,0,0,0,2172,0,0,143,0,1380,0,184,1375,0,205,0,0,0
"id_11",0,0,0,0,159,0,3536,0,0,1242,0,1850,3479,3397,2155,0,995,0,0,0,487,0,0,0,0,0,0,0,0,0,0,1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,258,0,0,118,1427,0,0,0,0,0,0,0,2764,0,631,2566,6309,5990,4154,2592,2633,685,243,338,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,1793,0,0,0,0,0,0,0,0,0,852,2779,109,339,0,1539,0,74,0,7,0,0,0,0,0,0,0,0,0,1219,214,409,1039,398,969,0,0,1301,0,0,0,0,0
"id_12",0,0,0,0,0,3118,0,0,0,4060,0,2913,0,0,2588,0,6590,0,0,0,549,0,0,0,0,0,0,0,0,0,0,1822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,2,1441,0,0,0,0,0,0,241,4779,3040,2004,7210,7210,6816,4213,3009,6,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2061,2169,220,1750,0,1263,194,0,0,0,0,0,0,0,0,0,0,0,0,2297,253,526,1727,473,593,0,0,3640,0,0,0,0,0
"id_14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5885,0,0,0,0,331,276,631,823,582,0,0,0,461,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,3955,995,4251,923,246,0,614,2025,3074,0,0,361,316,0,0,0,0,0,5461,465,0,0,0,0,340,0,262,4547,3954,3950,6350,2382,2784,125,527,157,302,0,1398,975,0,0,101,1637,0,0,0,4763,172,0,0,745,302,691,0,272,0,0,0,418,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,0,0,0,0,495,0,0,1644,5147,913,0,0,0,0,1174,135,0,0,0,0,0,0,0,517,0,41,0,0,0,0,0,0,0,1156,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,80,0,287,906,0,0,0,0,0,0,0,0,0,0,163,0,0,1423,23
"id_18",0,0,0,0,0,191,0,0,0,0,76,2131,0,0,1898,0,0,1078,0,613,1062,0,0,0,0,0,0,0,0,0,413,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,178,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,116,812,0,119,0,0,34,0,0,0,122,0,0,79,0,0,0,0,4778,0,0,1969,841,0,0,0,0,0,1485,130,1071,0,720,0,0,0,0,0,85,400,1194,4732,5706,1617,2938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,3386,3430,3332,817,0,741,0,0,0,74,1908,0,0,0,0,0,0,0,0,1658,214,1566,367,908,927,334,2006,3797,0,1925,0,0,1009,105,0,0,0,0,0,315,0,0,336,421,1056,1887,584,0,0,0,0,0
"id_21",0,0,0,0,0,1790,4432,0,0,0,0,5085,0,0,1535,0,7210,1816,0,0,848,0,0,0,0,0,0,0,0,0,0,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967,1282,0,0,0,0,0,178,2918,6389,1692,3958,5964,2721,468,656,0,0,0,0,2,0,0,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2676,332,0,618,0,1236,143,645,0,0,1353,0,0,0,24,0,0,0,0,203,366,514,1736,488,238,0,0,4263,0,0,0,0,0
