"id","id_1","id_2","id_3","id_4","id_8","id_10","id_12","id_13","id_15","id_16","id_17","id_19","id_22","id_23","id_24","id_25","id_26","id_28","id_30","id_31","id_32","id_34","id_35","id_36","id_37","id_38","id_39","id_41","id_42","id_43","id_45","id_46","id_48","id_49","id_50","id_51","id_52","id_53","id_55","id_56","id_57","id_58","id_59","id_60","id_61","id_65","id_66","id_67","id_69","id_70","id_71","id_73","id_74","id_75","id_77","id_78","id_80","id_82","id_84","id_1995","id_2013","id_2014","id_2015","id_2016","id_2018","id_2019","id_2020","id_2021","id_2022","id_2023","id_2024","id_2025","id_2026","id_2027","id_2028","id_2029","id_2031","id_2032","id_2033","id_2034","id_2035","id_2036","id_2037","id_2038","id_2039","id_2040","id_2041","id_2042","id_2043","id_2044","id_2045","id_2046","id_2047","id_2048","id_2049","id_2050","id_2051","id_2052","id_2053","id_2054","id_2055","id_2056","id_2057","id_2058","id_2059","id_2060","id_2061","id_2062","id_2063","id_2064","id_2065","id_2066","id_2067","id_2068","id_2069","id_2070","id_2071","id_2072","id_2073","id_2074","id_2075","id_2076"
"id_1",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_3",0,0,0,0,1,36,0,6,7,0,0,1,0,0,0,43,0,0,0,0,16,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,7,7,16,0,0,18,37,13,15,0,0,0,5,2,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,13,31,3,0,0,0,0,0,0,0,0,0,61,0,0
"id_4",0,0,0,0,0,58,0,0,17,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,28,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,5,0,0,0,7,113,26,5,6,0,0,0,0,0,3,0,0,0,0,0,0
"id_8",0,0,1,0,0,0,0,0,5,21,0,7,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,8,5,0,0,0,0,30,0,0,0,3,0,0
"id_10",0,0,36,58,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,6,8,0,0,0,26,11,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_12",0,0,0,0,0,0,0,0,8,7,0,2,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,5,20,7,0,0,0,10,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,10,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0
"id_13",0,0,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_15",2,0,7,17,5,0,8,14,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,2,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,11,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0
"id_16",0,0,0,0,21,0,7,0,0,0,36,6,42,0,0,10,0,0,2,0,0,17,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40,9,26,0,0,0,0,0,0,0,0,0,0,0,0
