"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_9","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_21","id_22","id_23","id_24","id_25","id_26","id_27","id_28","id_29","id_30","id_31","id_32","id_33","id_34","id_35","id_36","id_37","id_38","id_39","id_40","id_41","id_42","id_43","id_45","id_46","id_47","id_48","id_49","id_51","id_52","id_53","id_55","id_56","id_57","id_58","id_59","id_60","id_61","id_62","id_64","id_65","id_66","id_67","id_68","id_69","id_70","id_71","id_72","id_73","id_74","id_75","id_76","id_77","id_79","id_80","id_1311","id_1312","id_1313","id_1314","id_1315","id_1316"
"id_1",0,6531,773,0,1354,646,698,0,0,2746,4356,0,1067,0,0,164,0,845,0,0,0,0,0,3201,0,0,0,0,0,4285,0,561,0,0,6563,0,0,0,0,0,105,0,0,0,6643,0,0,0,0,0,0,0,0,3950,0,0,0,0,0,0,0,0,0,6167,0,0,0,0,0,0,0,0,0,2658,0,624,0,0,0,0,1453
"id_2",4601,0,331,0,0,0,0,0,0,0,4892,0,86,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,137,0,112,0,0,7200,0,0,0,0,0,0,0,0,0,2620,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,5861,0,0,0,0,0,0,0,0,0,2220,0,614,0,0,0,0,290
"id_3",783,783,0,477,1994,1191,2037,1457,1154,285,1834,1344,1563,0,301,0,0,0,0,0,0,0,0,484,0,0,0,0,0,893,0,0,0,0,840,0,0,0,0,0,0,0,0,0,992,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0,0,0,973,0,0,0,0,0,0,0,0,0,2056,0,2253,0,0,0,0,152
"id_4",51,0,360,0,424,205,513,497,248,231,270,208,652,217,459,315,548,613,739,1164,326,40,0,0,53,0,366,71,722,262,905,33,873,1059,0,840,454,348,394,17,0,280,1293,380,172,2832,109,72,976,1182,1562,325,0,235,87,0,0,365,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,363,69,398,603,27,595,0,0
"id_5",686,0,1897,457,0,4427,5889,1537,653,2917,998,1873,2867,0,1963,3242,0,2052,0,0,0,0,0,0,0,0,0,0,0,4189,0,3499,0,0,0,0,0,0,0,0,713,0,0,0,2580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3294,0,3301,0,0,0,0,1543
"id_6",2375,0,223,236,7200,0,7191,776,5536,4226,804,0,2833,0,1832,809,0,1957,0,0,0,0,0,0,0,0,0,0,0,5153,0,3004,0,0,0,0,0,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,6841,0,0,0,0,0,0,0,0,0,992,0,0,0,0,0,0,0,0,0,3489,0,2705,0,0,0,0,1193
"id_7",2709,253,1722,523,4674,6524,0,1323,2445,4600,813,728,2395,0,1468,3209,0,2079,0,0,354,0,0,747,0,0,0,0,0,4012,0,3701,0,0,1002,0,0,0,0,0,600,0,0,0,3651,0,0,0,0,0,0,0,0,3550,0,0,0,0,0,0,0,0,0,3012,0,0,0,0,0,0,0,0,0,4596,0,3136,0,0,0,0,1277
"id_8",0,0,1172,629,1262,1315,1388,0,2219,1465,1452,3256,785,0,1253,1396,2055,902,440,0,1650,481,0,0,276,0,0,0,0,207,0,443,0,0,0,0,0,0,0,0,1593,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234,0,577,171,79,0,0,1356
"id_9",0,0,86,267,5593,5673,5336,2327,0,5457,1587,362,1408,0,2358,2832,1262,715,462,0,576,560,0,0,106,0,0,0,0,3432,0,3450,0,0,0,0,0,0,0,0,2499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522,0,692,0,0,0,0,1480
"id_10",2888,302,114,239,5557,6314,5923,1828,4597,0,1573,2786,462,122,2012,1954,0,2204,0,0,0,0,0,1115,0,0,0,0,0,4130,0,4033,0,0,1072,0,0,0,0,0,855,0,0,0,2067,0,0,0,0,0,0,0,0,3292,0,0,0,0,0,0,0,0,0,2559,0,0,0,0,0,0,0,0,0,3737,0,563,0,0,0,0,1160
"id_11",3709,4995,1436,254,1038,1299,1607,860,1235,974,0,565,850,0,304,425,132,34,0,0,0,0,0,5047,0,0,0,0,0,461,0,0,0,0,5550,0,0,0,0,0,0,0,0,0,4093,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,5144,0,0,0,0,0,0,0,0,0,3934,0,1567,0,0,0,0,495
"id_12",0,0,1585,623,1007,0,1508,2918,2785,2995,963,0,46,270,2077,3369,0,1091,0,0,1573,0,0,0,0,0,0,0,0,208,0,1750,0,0,0,0,0,0,0,0,1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,0,339,0,0,0,0,2282
"id_13",2850,422,2179,482,3548,1215,2392,1674,564,349,1208,434,0,380,1329,103,836,549,422,0,622,491,20,1228,458,103,288,426,460,2196,116,340,321,681,1926,784,517,51,0,0,789,0,0,0,2717,0,0,0,0,0,0,0,0,2325,0,0,0,0,0,0,0,0,0,2378,0,0,0,0,0,0,0,0,0,1923,0,3195,688,143,0,0,922
"id_14",0,0,0,208,0,0,0,360,15,448,854,856,315,0,1840,573,598,586,760,475,290,220,5325,0,2037,0,0,1446,0,109,271,304,0,0,0,0,0,0,0,0,1025,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,2706,0,0,0
"id_15",148,0,449,608,2155,1749,1633,1734,2322,1638,712,2561,1600,1749,0,1954,1752,616,879,35,738,292,37,97,251,32,83,515,118,1598,276,960,311,430,56,302,162,0,0,0,1445,0,0,0,363,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,2160,0,1305,1419,246,0,0,967
"id_16",220,0,0,302,2648,1814,3237,1525,4861,4894,787,2827,61,728,1342,0,1488,2833,0,0,247,0,0,0,0,0,0,0,0,1347,0,3549,0,0,0,0,0,0,0,0,2093,0,0,0,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,0,0,745,0,0,0,1320
