"id","id_1","id_4","id_7","id_10","id_11","id_13","id_14","id_16","id_66","id_87","id_107","id_112","id_150","id_166","id_181","id_221","id_242","id_272","id_280","id_305","id_317","id_391","id_447","id_494","id_501","id_528","id_531","id_540","id_575","id_583","id_697","id_731","id_764","id_777","id_802","id_831","id_870","id_902","id_911","id_915","id_917","id_920","id_923","id_924","id_925","id_926","id_927","id_928","id_929","id_930","id_931","id_932","id_933"
"id_1",0,156,28,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
"id_4",219,0,0,537,88,317,627,171,442,78,355,16,611,13,765,890,83,317,162,157,25,620,0,241,135,19,47,64,0,0,0,0,0,0,0,0,0,373,396,69,111,637,0,19,175,175,142,54,45,0,0,0,0
"id_7",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_10",0,483,0,0,194,34,553,77,1644,0,2381,7,1968,18,1625,397,0,0,0,149,160,390,0,186,66,0,36,84,1103,0,0,602,60,448,0,75,137,849,4420,337,95,3505,0,4,75,107,312,29,115,0,0,166,103
"id_11",60,79,0,194,0,240,165,104,96,0,78,89,30,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,72,0,65,75,0,0,0,0,0,0,0,0,0,0,0
"id_13",0,451,0,47,266,0,584,34,450,135,128,103,36,126,560,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,69,0,0,24,0,0,0,157,0,0,0,0,0
"id_14",24,746,0,373,208,514,0,0,1305,63,741,31,605,34,1848,1649,133,183,81,188,136,1217,18,206,172,97,187,151,492,174,368,534,434,223,104,194,24,383,425,119,30,394,179,137,181,177,411,146,32,1,180,22,560
"id_16",164,177,0,61,57,28,6,0,61,67,26,15,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,105,0,143,73,0,0,0,0,0,0,0,0,0,0,0
"id_66",26,642,0,2036,164,608,1352,85,0,61,1726,34,1119,43,2746,1029,5,0,0,85,116,1984,15,125,47,164,151,130,735,168,37,338,277,274,238,88,183,462,526,281,1,252,0,85,3,117,73,161,51,109,0,366,185
"id_87",0,87,0,0,0,108,58,65,73,0,31,16,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_107",0,455,0,2403,137,78,1363,34,2121,35,0,148,1166,10,2315,629,89,0,64,22,86,2122,0,112,205,87,113,0,416,89,0,454,148,342,74,159,155,607,1530,261,182,1176,0,78,135,0,0,43,5,0,0,53,159
"id_112",0,38,0,20,93,103,27,0,43,36,62,0,11,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_150",0,679,0,1827,29,23,735,0,1134,0,1236,11,0,1,1245,884,23,0,48,197,163,442,10,182,114,28,36,307,350,145,296,879,193,524,0,395,108,281,1566,458,0,1657,164,0,28,94,216,95,104,165,0,68,153
"id_166",0,1,0,26,0,169,72,0,41,0,12,0,0,0,86,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,0,0,0,0,0,0,0,0,87,0,0,0,0,0
"id_181",0,814,0,1515,152,522,1711,119,2213,42,2078,73,1111,140,0,852,65,0,53,37,22,1648,0,103,3,132,182,277,1464,0,142,523,123,313,178,234,430,747,722,268,131,896,0,90,49,84,196,169,188,74,117,377,234
"id_221",0,1148,0,408,0,27,1148,0,734,0,411,0,988,40,925,0,81,225,142,102,82,721,143,208,182,110,163,158,95,68,340,67,0,0,0,0,0,252,124,348,0,58,17,105,183,135,475,23,133,179,0,0,173
"id_242",0,21,0,0,0,0,95,0,24,0,73,0,23,0,54,66,0,108,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7,0,0,21,0,102,0,0,0,3,0,0,0,0,0
"id_272",0,267,0,0,0,0,163,0,0,0,0,0,0,0,0,185,95,0,161,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,90,0,0,0,0,0,0,0,0,0
"id_280",0,167,0,0,0,0,118,0,19,0,19,0,50,0,4,165,34,173,0,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0,28,0,29,0,0,0,0,0,0,0,0,0
"id_305",0,151,0,124,0,0,180,0,70,0,61,0,128,0,53,129,0,8,19,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,40,107,0,56,0,0,27,30,0,0,0,0,0,0,0
"id_317",0,41,0,170,0,0,132,0,130,0,85,0,107,0,31,160,0,18,20,146,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,48,79,0,52,0,0,0,43,0,0,0,0,0,0,0
"id_391",0,689,0,2284,0,0,1064,0,2434,0,2017,0,472,0,1772,932,0,0,0,0,20,0,72,270,109,146,161,293,749,160,0,344,344,180,166,508,0,309,0,246,0,0,38,0,138,165,138,0,152,207,0,110,136
"id_447",0,0,0,0,0,0,49,0,46,0,0,0,0,0,33,151,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,110,0,0,0,0,0,0,0,0,27,0,0,0,0
"id_494",0,192,0,203,0,0,115,0,83,0,75,0,143,0,95,217,0,0,0,0,0,298,0,0,254,138,31,141,49,14,0,0,0,0,0,0,0,108,71,0,0,110,0,0,0,0,186,0,0,0,0,0,0
