"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_9","id_10","id_11","id_12","id_13","id_16","id_17","id_19","id_20","id_22","id_23","id_24","id_25","id_27","id_32","id_77","id_117","id_139","id_144","id_145","id_146","id_147","id_148"
"id_1",0,26,0,0,0,0,0,0,0,0,7179,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,109,0,0,0,0
"id_2",0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,101,0,0,7203,144,0,0,0,0
"id_3",0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0
"id_4",0,0,0,0,537,5,6934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2197,0,0,426,0,101,917,193,1392,113
"id_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_6",0,0,0,6453,0,0,6895,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,214,0,214,1961,0,4332,17
"id_7",0,0,0,7210,537,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2183,0,0,281,0,102,1316,193,4139,142
"id_8",0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,7210,0,0,0,0,44,0,247,0,173,0,0,0,0
"id_9",0,0,0,0,0,0,0,0,0,7210,0,0,0,0,5855,0,0,0,0,0,0,0,169,0,0,7210,12,0,0,0,0
"id_10",0,0,122,0,0,0,0,0,6247,0,0,0,0,0,0,0,0,0,0,0,0,0,2725,0,0,0,0,0,0,0,0
"id_11",7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,311,0,0,0,0
"id_12",0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,37,0,92,0,178,0,0,0,0
"id_13",0,7210,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,86,0,0,2375,131,0,0,0,0
"id_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3407,202,0,0,2178,6455,183,0,351,0,0,0,0
"id_17",0,0,0,0,0,0,0,0,7210,0,0,0,7210,0,0,0,0,0,0,0,0,0,155,0,0,7210,94,0,0,0,0
"id_19",0,0,0,0,0,0,0,6661,0,0,0,0,0,1063,0,0,5554,0,9,0,0,0,104,860,768,0,189,0,0,0,0
"id_20",0,0,0,0,0,0,0,591,0,0,0,0,0,160,0,7090,0,0,438,0,0,0,49,430,803,0,50,0,0,0,0
"id_22",0,0,0,0,0,0,0,5029,0,0,0,7210,0,0,0,0,0,0,0,0,0,0,44,0,92,0,213,0,0,0,0
"id_23",0,0,0,0,0,0,0,0,0,0,0,0,0,1172,0,587,589,0,0,1410,0,0,1340,768,615,0,1987,261,0,0,0
"id_24",0,0,0,0,0,257,0,0,0,0,0,0,0,125,0,0,0,0,402,0,6408,0,484,0,410,0,669,451,0,0,0
"id_25",0,0,0,0,0,6014,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,0,0,0,0,218,0,304,922,0,705,0
"id_27",0,0,0,92,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,149,142
"id_32",38,89,216,0,0,0,0,43,243,879,38,41,135,1817,151,83,71,44,1456,1228,0,0,0,84,216,202,536,239,0,0,0
"id_77",0,0,0,0,0,0,0,0,0,0,0,0,0,6285,0,6764,1966,0,628,0,0,0,88,0,999,0,179,0,0,0,0
"id_117",0,0,0,425,0,358,284,402,0,0,0,147,0,179,0,947,844,295,367,344,243,0,236,440,0,0,670,556,0,522,0
"id_139",0,0,0,0,0,0,0,0,6949,0,0,0,7210,0,7210,0,0,0,0,0,0,0,153,0,0,0,116,0,0,0,0
"id_144",204,144,0,216,0,221,194,177,0,0,358,201,131,263,98,142,114,178,737,2135,317,53,450,178,795,112,0,325,0,221,0
"id_145",0,0,0,1340,0,1571,2092,0,0,0,0,0,0,0,0,0,0,0,235,131,707,0,198,0,385,0,312,0,31,1614,0
"id_146",0,0,0,193,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,19,0,0,0
"id_147",0,0,0,4306,0,4531,4679,0,0,0,0,0,0,0,0,0,0,0,0,0,42,146,0,0,456,0,217,1908,0,0,91
"id_148",0,0,0,63,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,94,0
