"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_9","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_21","id_22","id_23","id_24","id_25","id_30","id_31","id_32","id_33","id_34","id_35","id_36","id_37","id_38","id_39","id_40","id_41","id_42","id_43","id_44","id_45","id_46","id_47","id_48","id_49","id_50","id_51","id_52","id_53","id_54","id_55","id_56","id_57","id_58","id_59","id_60","id_61","id_62","id_63","id_64","id_65","id_66","id_67","id_68","id_69","id_70","id_71","id_72","id_73","id_74","id_75","id_76","id_77","id_78","id_79","id_80","id_81","id_82","id_83","id_84","id_85","id_86","id_87","id_88","id_89","id_90","id_91","id_92","id_93","id_94","id_95","id_96","id_97","id_98","id_99","id_100","id_101","id_102","id_103","id_104","id_105","id_106","id_107","id_108","id_109","id_110","id_111","id_112","id_113","id_114","id_115","id_116","id_117","id_118","id_119","id_120","id_121","id_122","id_123","id_124","id_149","id_166","id_169","id_181","id_185","id_191","id_427","id_474","id_500","id_501","id_502","id_503","id_504","id_505","id_506","id_507","id_508","id_509","id_510","id_511","id_512","id_513","id_514","id_515","id_516","id_517","id_518","id_519","id_520","id_521","id_522","id_523"
"id_1",0,7200,654,517,0,0,0,0,0,0,0,0,0,559,0,0,0,0,0,0,0,0,0,0,26,0,3211,3202,5514,0,0,0,4638,0,0,0,0,0,0,0,0,0,0,4431,128,0,0,0,0,0,0,0,0,0,1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,1905,0,0,0,0,0,0,0,0,0,0,1501,0,0,0,0,0,0,0,872,0,0,127,0,0,0,0,0,0,0,0,0,0,3777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_2",7200,0,886,0,0,0,0,0,0,0,0,0,0,3862,0,0,0,0,0,0,0,0,0,0,416,170,2812,1428,5556,0,0,0,7088,0,0,0,0,0,0,0,0,0,0,5953,62,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_3",426,799,0,0,0,0,511,0,0,0,0,0,0,1936,0,0,0,0,0,0,0,0,0,0,4566,2730,3791,1379,1244,0,0,0,949,0,0,1908,0,0,0,0,0,0,0,0,78,525,1742,636,892,2029,0,262,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2914,0,3229,4291,0,1974,878,216,0,0,0,0,1339,0,0,337,0,0,0,0,0,0,0,0,0,0,697,0,0,0,0,173,1060,781,430,2121,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_4",780,364,0,0,422,819,746,801,2011,779,1018,443,770,0,469,806,880,915,863,43,0,246,0,186,313,614,798,1015,910,487,363,0,0,0,0,0,0,0,0,96,620,42,0,0,0,0,0,0,0,23,0,0,0,1137,0,107,686,1318,1301,1330,454,14,0,1484,137,0,0,87,0,0,144,0,96,1085,394,677,0,1214,602,1363,37,1391,391,909,593,86,0,0,418,0,579,567,286,1118,777,1191,592,182,0,465,483,629,423,338,496,1422,248,482,446,0,424,19,0,35,399,0,180,0,603,318,0,0,317,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,77,187,0,0
"id_5",0,0,0,390,0,773,175,537,358,702,1185,0,0,0,0,37,75,288,192,0,600,0,0,2117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,154,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,367,0,694,379,785,115,199,0,0,0,0,415,1014,89,506,605,274,980,509,407,270,456,479,345,472,569,211,404,24,1070,581
"id_6",0,0,0,748,956,0,1130,2265,694,1847,1522,1235,1158,0,647,943,930,1596,1482,0,0,0,0,0,0,1111,0,72,0,0,77,1102,0,555,908,91,1109,935,0,251,98,160,157,0,11,619,120,798,77,256,0,35,332,0,0,369,0,13,0,518,1248,0,496,0,0,0,0,0,0,0,263,439,0,0,0,0,0,0,53,0,0,422,1119,0,1487,271,0,0,2136,967,0,1983,835,348,224,0,366,2511,378,645,863,1237,694,263,1087,655,2399,2282,1608,0,2355,1293,1454,709,64,278,587,37,0,90,0,0,2324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0
"id_7",0,0,0,888,287,1908,0,2243,1314,2721,1787,3840,3211,0,3202,6917,3195,5538,7200,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,799,0,0,136,0,0,0,0,0,30,0,995,0,128,3740,446,1352,1803,0,0,5340,0,0,0,0,6509,27,0,0,0,0,0,0,0,0,0,0,51,0,0,28,0,0,0,0,0,524,0,0,0,0,0,0,0,1580,0,0,0,0,0,0,1090,812,0,0,0,0,0,0,0,909,0,0,0,0,0,1921,32,0,22,0,3838,297,1781,2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0
"id_8",0,0,0,811,493,2466,1699,0,1913,2124,2119,268,876,1072,902,1634,1755,1983,1874,0,0,0,0,56,0,0,0,0,0,0,146,1651,0,0,2229,1205,3670,4110,923,0,1153,0,0,0,46,3139,3163,4758,2055,869,1016,1355,2163,0,0,2203,0,88,0,288,2424,0,2816,0,0,0,0,0,0,0,0,845,0,0,0,0,0,0,383,0,0,453,129,0,0,0,0,0,0,0,0,0,0,0,683,0,114,0,100,0,0,0,0,0,0,2881,0,0,0,0,0,475,0,173,737,0,0,0,921,4014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_9",0,0,0,2004,630,929,1006,1742,0,1269,2194,0,0,0,0,0,0,121,322,0,0,729,0,292,0,0,0,0,0,0,275,0,0,0,0,0,0,0,579,0,0,0,0,0,82,0,146,176,602,829,1980,1191,1005,601,0,1930,187,0,376,2899,2362,207,0,0,0,0,0,0,0,0,0,284,916,2235,341,497,0,327,157,245,0,3192,1156,0,0,0,0,0,0,0,0,0,0,0,2214,0,913,0,0,0,138,0,0,0,0,496,0,0,0,0,0,0,0,1059,0,0,0,0,874,1,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,114,0,0,0,86,0,82,0,0,0,0,0,12,0,165,0,0
"id_10",0,0,0,767,675,1650,2665,2323,1987,0,2755,2632,2679,0,2649,2670,2684,2708,2694,157,0,165,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1590,74,62,130,0,1604,104,0,87,897,2228,890,0,0,0,0,0,0,0,0,0,0,1572,935,0,191,0,203,162,161,320,600,177,0,0,0,0,0,0,0,0,0,0,0,417,0,723,0,0,0,117,0,0,0,0,650,0,0,0,0,0,0,0,22,0,0,0,0,10,1670,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,71,0,0,0,360,0,167,0,0,0,0,0,55,0,585,0,0
