"id","id_1","id_2","id_8","id_11","id_13","id_19","id_20","id_22","id_24","id_29","id_61","id_95","id_149","id_161","id_170","id_204","id_225","id_231","id_406","id_407","id_408","id_409","id_410","id_411","id_412","id_413","id_414","id_415","id_416","id_417","id_418","id_420","id_421","id_422","id_423","id_424","id_425","id_426"
"id_1",0,204,0,0,388,527,301,0,1128,198,262,0,173,164,288,0,0,0,0,0,891,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_2",148,0,0,620,7200,867,0,0,286,0,1414,0,208,2389,0,0,0,43,0,0,4052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_8",0,0,0,3077,0,0,0,0,7,1441,782,309,2861,1178,1026,529,2571,793,2273,2113,715,0,203,0,913,2005,0,930,0,0,0,309,436,0,0,0,21,0
"id_11",81,593,2421,0,667,712,608,1003,704,568,546,648,2195,1559,1726,1176,1117,386,1325,1603,332,884,59,0,1383,1485,13,563,0,0,0,224,878,28,0,0,0,0
"id_13",300,0,0,434,0,6373,5879,0,225,164,1190,0,274,989,1196,0,0,379,0,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_19",433,805,0,662,5679,0,6149,8,838,448,1463,0,155,1437,1039,0,0,461,0,0,1224,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_20",298,0,0,495,5110,6213,0,0,355,282,1730,0,304,509,2603,0,0,469,0,0,705,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_22",0,0,0,1042,0,10,0,0,4229,600,2844,0,475,286,2754,2886,1063,366,223,0,278,6280,225,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0
"id_24",1404,725,0,78,382,925,651,4229,0,0,4395,0,216,1057,710,3813,14,297,0,0,2652,4699,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_29",177,0,1383,548,94,366,364,358,0,0,0,696,0,0,516,898,528,304,832,1237,0,315,3669,1024,2202,2196,622,1094,0,490,0,2853,1149,711,224,527,1750,579
"id_61",195,1720,665,419,991,1024,2180,3324,4944,0,0,183,1316,2628,3132,2349,1359,505,568,0,2276,3024,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_95",0,0,408,417,0,0,0,0,13,992,223,0,330,277,295,0,172,418,378,842,285,0,831,0,560,249,76,73,0,0,0,230,0,0,0,0,971,615
"id_149",155,224,2257,2141,285,156,471,438,927,0,1654,320,0,3593,3973,1359,3380,953,4252,1320,602,363,592,0,157,292,0,114,0,0,0,271,0,0,0,0,0,0
"id_161",421,2525,821,2528,2645,1522,330,273,638,0,1416,214,3586,0,3563,780,2247,404,3500,1330,959,272,209,0,616,485,0,61,0,0,0,183,0,0,0,0,0,0
"id_170",0,0,957,1350,0,1256,2821,1327,1699,477,3804,263,3858,3738,0,2221,4026,460,3089,1014,775,3050,590,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0
"id_204",0,0,0,1107,0,0,0,2256,4481,483,2682,0,618,262,2108,0,1533,380,1959,0,390,4839,208,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0
"id_225",0,0,3078,1029,0,0,0,804,1718,1015,2726,15,1322,2282,4098,4688,0,1046,3288,1601,1056,134,503,0,0,669,0,0,0,0,0,68,588,0,0,0,0,0
"id_231",0,74,722,358,306,417,425,436,327,908,484,421,840,412,428,415,524,0,540,956,0,404,1662,1802,2182,1100,0,143,270,0,0,2170,235,0,0,0,827,311
"id_406",0,0,2845,1337,0,0,0,0,0,845,1085,404,4372,3937,3647,1951,4435,815,0,763,690,0,231,0,686,255,0,50,0,0,0,237,379,0,0,0,0,0
"id_407",0,0,1388,1317,0,0,0,0,0,2069,109,828,1305,901,646,196,1039,1203,667,0,0,0,2173,142,658,1719,214,284,0,256,81,581,722,142,137,230,455,284
"id_408",3215,4253,571,490,978,1315,461,364,3330,0,1935,192,391,1427,768,1041,1003,0,360,0,0,352,569,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_409",10,0,0,724,0,1667,7200,5543,2776,397,1864,0,471,242,2889,0,0,424,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_410",0,0,240,76,0,0,0,122,304,2591,421,547,420,323,568,292,508,1950,177,1359,503,3,0,1913,2632,2240,136,1379,117,341,0,2764,693,397,0,0,3154,834
"id_411",0,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,1747,0,0,0,0,2002,0,3732,1723,0,403,239,0,0,3202,1426,0,0,0,1426,0
"id_412",0,0,673,1392,0,0,0,0,0,762,45,775,135,261,42,0,0,1120,763,685,57,0,2370,2626,0,1816,0,1205,222,0,0,4790,1747,11,0,0,3576,353
"id_413",0,0,1970,1569,0,0,0,510,0,1753,0,250,1125,115,167,407,633,746,203,1387,0,378,2314,1628,1747,0,0,494,8,0,0,1928,1419,0,0,0,1585,325
"id_414",0,0,0,10,0,0,0,0,0,494,0,45,0,0,0,0,0,0,0,69,0,0,54,0,0,0,0,0,0,410,47,739,0,402,272,390,0,0
"id_415",0,0,869,669,0,0,0,0,0,1025,0,85,147,45,47,0,34,121,114,402,0,0,1091,407,1225,631,0,0,0,0,0,707,426,0,0,0,1023,132
"id_416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,182,239,222,90,0,0,0,0,0,262,0,0,0,0,116,0
"id_417",0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,46,0,0,272,0,0,0,416,0,0,0,0,485,0,459,56,286,55,0
"id_418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,47,0,0,0,0,119,0,104,131,61,0,0
"id_420",0,0,320,184,0,0,0,0,0,1444,0,401,289,162,181,0,145,1452,256,185,0,0,1912,2730,4666,1555,691,854,262,303,119,0,1498,712,389,642,4140,420
"id_421",0,0,573,584,0,0,0,0,0,944,0,0,0,0,0,72,742,172,351,647,0,0,1014,1622,1834,1876,0,425,0,0,0,2141,0,0,0,0,1066,0
"id_422",0,0,0,21,0,0,0,0,0,628,0,0,0,0,0,0,0,0,0,88,0,0,195,0,11,0,414,0,0,535,106,790,0,0,323,606,263,116
"id_423",0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,274,0,0,56,102,389,0,312,0,335,0,0
"id_424",0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,203,61,642,0,605,352,0,0,0
"id_425",0,0,0,0,0,0,0,0,0,675,0,556,0,0,0,0,0,525,0,198,0,0,1981,737,2229,1028,0,1023,116,96,0,3109,814,358,0,0,0,770
"id_426",0,0,0,0,0,0,0,0,0,457,0,356,0,0,0,0,0,306,0,95,0,0,466,0,171,325,0,64,0,0,0,277,0,116,0,0,722,0
