"id","id_1","id_2","id_8","id_11","id_13","id_19","id_20","id_22","id_24","id_29","id_61","id_95","id_149","id_161","id_170","id_204","id_225","id_231","id_406","id_407","id_408","id_409","id_410","id_411","id_412","id_413","id_414","id_415","id_416","id_417","id_418","id_420","id_421","id_422","id_423","id_424","id_425","id_426"
"id_1",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_8",0,0,0,319,0,0,0,0,0,0,0,0,0,43,7,0,0,45,391,61,0,0,3,0,0,5,0,34,0,0,0,0,0,0,0,0,0,0
"id_11",0,0,319,0,0,0,0,17,0,0,60,0,0,0,0,12,0,0,33,12,0,0,0,0,28,32,0,0,0,0,0,105,50,0,0,0,0,0
"id_13",0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_19",0,0,0,0,0,0,138,0,0,0,47,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_20",0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_22",0,0,0,17,0,0,0,0,252,0,0,0,21,0,2,3938,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_24",14,0,0,0,0,0,0,252,0,0,18,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_29",0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,33,112,5,13,0,0,0,6,58,115,0,0,0,41,0,14,31,33,0,3,0,0
"id_61",0,0,0,60,0,47,0,0,18,0,0,0,0,4,0,0,0,0,0,0,0,194,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_95",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0
"id_149",0,0,0,0,0,104,0,21,0,0,0,0,0,204,18,0,0,62,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_161",0,0,43,0,0,0,0,0,0,0,4,6,204,0,145,0,0,53,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_170",0,0,7,0,0,0,0,2,0,0,0,0,18,145,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_204",0,0,0,12,0,0,0,3938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_225",0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_231",0,0,45,0,0,0,0,0,76,112,0,3,62,53,23,0,0,0,3,35,0,0,407,0,3,0,0,0,0,0,0,9,0,0,0,0,108,120
"id_406",0,0,391,33,0,0,0,0,0,5,0,0,112,5,0,0,0,3,0,0,0,0,2,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
"id_407",0,0,61,12,0,0,0,0,0,13,0,0,0,6,0,0,0,35,0,0,0,0,10,0,10,4,0,48,0,4,0,21,29,0,0,0,0,0
"id_408",77,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_409",0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_410",0,0,3,0,0,0,0,0,0,0,10,0,1,0,0,0,2,407,2,10,27,0,0,38,0,32,0,2,0,0,0,0,0,13,0,0,0,81
"id_411",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,38,0,4,12,0,365,7,0,0,242,2,0,0,0,998,0
