"id","id_1","id_2","id_4","id_7","id_8","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_21","id_22","id_25","id_26","id_27","id_28","id_29","id_45","id_51","id_114","id_160","id_193","id_197","id_198","id_199","id_200","id_201","id_202"
"id_1",0,3009,0,0,0,0,0,0,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_2",3011,0,0,0,0,0,0,0,5213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0
"id_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,0,1193,1498,7200,0,0,94,2024,710,0,6669,0,0,7200,1201
"id_7",0,0,7027,0,3744,131,119,0,0,0,0,0,0,0,0,0,0,0,551,0,543,0,0,0,131,0,5846,3584,0,0,0,131,3789,6862
"id_8",0,0,0,12,0,7141,2886,0,0,0,0,0,0,0,0,0,0,0,119,0,77,0,0,0,7194,0,1155,0,0,0,0,0,0,369
"id_10",0,0,0,0,2993,0,7200,0,0,0,0,0,0,0,0,0,0,0,326,0,208,0,0,0,7200,0,1067,0,0,0,0,7200,0,473
"id_11",0,0,0,7158,7183,7200,0,0,0,0,0,0,0,0,0,0,0,0,355,0,220,0,0,0,7200,0,1608,0,0,0,0,7200,0,597
"id_12",0,0,0,0,0,0,6360,0,0,0,0,0,0,0,0,0,0,0,479,0,366,0,0,4245,0,0,650,0,0,0,0,6703,0,202
"id_13",2931,7123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,157,81,0,0,0,0,2846,0,82,6864,0,134,0,0,0
"id_14",0,0,0,0,0,0,0,0,0,0,7195,6360,110,65,27,0,0,7109,329,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_15",0,0,0,0,0,0,0,0,0,7199,0,7199,0,0,0,0,0,971,209,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_16",0,0,0,0,0,0,0,0,0,7200,7199,0,6,0,0,0,0,635,306,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_17",0,0,0,0,0,0,0,0,0,110,7188,7200,0,7199,7190,7142,0,0,186,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_18",0,0,0,0,0,0,0,0,0,0,0,0,7199,0,7010,7199,7199,0,309,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_19",0,0,0,0,0,0,0,0,0,46,80,7200,7200,7010,0,7200,0,0,150,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_20",0,0,0,0,0,0,0,0,0,0,0,0,7200,7199,7200,0,7200,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_22",0,0,0,0,0,0,0,2489,0,575,559,510,0,0,0,0,0,0,377,0,934,0,0,2702,0,0,256,0,0,0,0,0,0,0
"id_25",0,0,1183,514,175,232,362,435,0,323,208,308,216,185,123,233,272,417,0,3645,4267,3968,1098,489,199,1691,494,4090,0,4484,4276,374,999,518
"id_26",0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,4393,0,3982,4915,0,0,0,4170,0,3118,1052,812,7098,0,0,0
"id_27",0,0,1023,472,361,398,215,357,384,519,298,313,268,113,106,101,31,742,4926,3712,0,4708,964,644,374,2021,460,1154,463,1417,4469,219,1044,517
"id_28",0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3850,4468,4986,0,1000,0,0,4455,0,3419,790,4693,6490,0,519,0
"id_29",0,0,4551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161,0,4548,5923,0,0,0,2088,0,3643,0,6717,596,0,1820,68
"id_45",0,0,0,0,0,0,0,4376,0,0,0,0,0,0,0,0,0,1234,438,0,640,0,0,0,0,0,685,0,0,0,0,4599,0,0
"id_51",0,0,0,7200,7194,7200,6944,0,0,0,0,0,0,0,0,0,0,0,180,0,141,0,0,0,0,0,2971,0,0,0,0,0,0,3512
"id_114",2574,2664,38,0,0,0,0,0,2828,0,0,0,0,0,0,0,0,0,1777,3950,1984,4191,134,0,0,0,0,564,3208,1216,4548,0,0,0
"id_160",0,0,4431,3638,1540,1262,1034,886,0,0,0,0,0,0,0,0,0,87,412,0,506,0,0,730,1268,0,0,1802,0,134,0,1149,1806,5586
"id_193",0,0,2027,3331,1673,0,0,0,110,0,0,0,0,0,0,0,0,0,3911,3076,675,3398,589,0,22,526,2186,0,0,793,3326,0,3875,3058
"id_197",2579,6968,0,0,0,0,0,0,6752,0,0,0,0,0,0,0,0,0,0,871,0,172,0,0,0,2876,0,0,0,0,298,0,0,0
"id_198",0,0,3183,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1555,537,4639,6528,6554,0,0,3530,29,3274,343,0,2199,0,3740,279
"id_199",0,0,0,0,0,0,0,0,6327,0,0,0,0,0,0,0,0,0,4330,7048,4134,2632,40,0,0,5808,0,3293,6437,546,0,0,0,0
"id_200",0,0,0,7200,0,7200,7200,2631,0,0,0,0,0,0,0,0,0,0,404,0,263,0,0,2723,7152,0,1752,0,0,0,0,0,0,593
"id_201",0,0,7200,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,1020,202,3800,0,0,0,132,3888,0,6091,0,0,0,3717
"id_202",0,0,4189,7007,784,573,415,144,0,0,0,0,0,0,0,0,0,0,549,0,519,0,114,122,471,0,5489,3045,0,172,0,323,3136,0
