"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_9","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_21","id_47"
"id_1",0,0,0,0,0,0,3,0,8560,5208,0,5214,0,0,0,0,1691,0,0,8458,231,0
"id_2",0,0,1254,6689,8433,4655,8060,0,0,0,4214,1282,1778,6365,8202,8208,1674,977,8375,0,385,7807
"id_3",152,3148,0,4274,2050,1042,2644,0,3266,849,955,758,379,1245,774,1299,4707,0,2763,2086,4097,1145
"id_4",0,7595,6412,0,6118,904,7439,0,1995,1461,2974,81,169,3547,2661,4870,4645,0,7717,1073,2772,4218
"id_5",0,8931,2032,6144,0,6730,7441,0,0,0,2310,649,725,6745,8425,8504,846,883,7303,0,0,7438
"id_6",0,3419,402,1454,2731,0,2749,405,470,555,3161,286,2067,3240,6504,5444,911,2827,2172,375,782,5346
"id_7",1026,7676,1841,2473,6896,6447,0,108,1386,1347,1361,1710,509,5219,6949,6228,1801,395,7184,1267,1519,6360
"id_8",0,0,0,0,0,778,230,0,0,122,4091,1534,8991,3688,0,0,0,7287,444,304,0,0
"id_9",8618,160,656,398,82,30,1286,93,0,8887,1252,6858,291,216,0,0,6981,64,182,8778,6904,0
"id_10",8991,0,338,34,0,0,988,237,8799,0,2193,7515,1490,93,0,0,7132,0,0,8954,6362,0
"id_11",1918,3347,949,3389,1763,2312,1885,3689,5495,6347,0,2457,4712,5479,1748,1736,5549,1041,4255,6221,4217,1523
"id_12",5469,3140,599,136,617,504,1849,2304,3577,3537,2309,0,2976,2565,498,620,1869,1020,3176,6175,764,643
"id_13",71,1647,347,0,152,1322,1975,8141,532,7735,6047,3248,0,4315,697,475,2868,5220,3700,4663,1711,423
"id_14",22,7580,1119,4804,2710,3416,5409,1470,1730,2120,7194,2748,4109,0,4318,2648,2701,4318,6723,1765,1228,1913
"id_15",0,8606,756,1331,6103,5162,7086,0,0,0,1818,196,777,5553,0,8991,0,4861,7941,0,0,8991
"id_16",0,8648,1626,4848,8802,7660,6764,0,0,0,2131,594,531,6392,8991,0,281,0,8987,0,0,8689
"id_17",5803,1652,4282,3376,699,1178,2268,0,8027,7713,4245,3211,780,2276,174,401,0,0,1346,7826,6261,244
"id_18",0,0,0,0,0,2081,266,7311,0,0,2195,298,8987,4324,0,0,0,0,410,159,0,0
"id_19",0,8512,2085,3432,6808,3253,7464,0,0,0,4278,1761,3656,6468,8469,8693,800,3477,0,0,64,5129
"id_20",8767,0,297,0,0,0,666,337,8476,8954,1583,7268,498,0,0,0,4189,73,0,0,5553,0
"id_21",2094,870,3556,3252,0,1150,1594,61,6436,5884,3998,1350,1245,1414,0,0,6340,0,3898,5879,0,0
"id_47",0,7395,1746,5618,8021,5749,6952,0,0,0,1538,679,0,2884,8991,8689,471,0,5453,0,0,0
