"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_9","id_10","id_11","id_12","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_21","id_22","id_23","id_24","id_25","id_26","id_27","id_28","id_29","id_30","id_31","id_32","id_33","id_34","id_35","id_36","id_37","id_38","id_39","id_40","id_41","id_42","id_43","id_44","id_45","id_46","id_47","id_48","id_49"
"id_1",0,3374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_2",3437,0,0,0,0,0,772,0,0,0,0,0,0,0,0,0,0,163,0,0,46,0,192,0,0,0,0,155,926,1454,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_3",0,0,0,3949,900,762,457,1083,2349,706,1463,548,1417,1497,2914,2717,3184,774,1445,2448,1135,1569,0,0,1562,0,238,125,0,0,461,0,0,0,1427,703,325,978,2319,4441,2902,2185,1996,3781,3294,201,0,0,0
"id_4",0,0,4508,0,0,0,0,0,2847,0,0,0,0,0,3970,2322,3741,1130,818,693,1321,3522,0,0,2270,321,1003,1094,0,0,0,0,0,0,0,0,0,0,647,3332,5054,912,839,3989,6850,3055,0,508,0
"id_5",0,0,1034,0,0,0,1897,0,0,4963,1204,6503,5372,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,3815,6068,1267,1936,5411,939,834,183,0,952,0,0,0,0,0,0,0,0,0,0
"id_6",0,0,300,0,0,0,0,7200,525,2650,0,358,0,3481,601,2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2845,7200,7200,3882,1610,1899,4977,1939,0,0,0,0,0,0
"id_7",207,505,0,0,2000,0,0,0,0,1245,1317,2202,1842,1241,0,0,0,0,0,0,0,0,192,0,0,0,0,0,2083,526,3352,2073,2526,1075,1204,703,1,0,764,0,0,0,0,0,0,0,0,0,0
"id_8",0,0,1134,0,0,7200,0,0,4347,0,0,0,0,0,3813,3408,0,0,0,2356,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,3735,2805,3418,2729,7139,6285,0,0,0,0,0,0
"id_9",0,0,2807,1422,0,3150,0,5151,0,0,0,0,0,0,6547,4028,2564,0,0,3800,0,2917,0,0,2926,0,0,0,0,0,0,0,0,0,0,0,0,4938,2554,5792,4557,7200,4798,1736,595,0,0,0,0
"id_10",0,0,482,0,4318,2805,579,0,0,0,6906,5060,4160,2221,0,2819,0,0,0,0,0,0,0,0,0,0,0,0,0,267,3671,0,0,0,4065,3449,3203,0,1675,0,0,0,0,0,0,0,0,0,0
"id_11",0,0,1438,0,1052,0,240,0,0,6906,0,1353,4878,6252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5969,7200,7200,0,4295,0,0,0,0,0,0,0,0,0,0
"id_12",0,0,553,0,6768,389,2146,113,0,5374,5443,0,5095,1690,0,342,0,0,0,12,0,0,0,0,0,0,0,0,1085,354,5548,1276,1353,948,5129,1449,895,125,1538,0,0,70,0,0,0,0,0,0,0
