"id","id_1","id_2","id_5","id_8","id_10","id_11","id_12","id_13","id_14","id_17","id_18","id_98","id_122","id_173","id_181","id_208","id_304","id_646","id_648","id_650","id_651","id_652","id_653","id_654","id_655","id_656","id_657","id_658","id_659","id_660","id_661","id_662","id_663","id_664","id_665","id_666","id_667","id_668","id_669"
"id_1",0,2760,1882,566,2697,3154,869,4036,1426,1202,2556,1930,3305,340,3715,2429,16,1249,502,4,483,892,125,2442,102,152,173,424,94,149,212,642,72,100,298,838,64,24,327
"id_2",3522,0,3849,767,1209,4240,620,5959,3760,1532,4603,2132,2139,823,3816,1670,20,2780,29,0,1057,115,0,3060,52,0,0,315,28,224,254,476,167,20,158,454,98,372,358
"id_5",2734,3826,0,1231,2699,2937,672,4255,3113,1769,5428,1817,2350,2067,3407,3292,114,3072,74,0,350,218,91,4651,2,171,0,0,80,182,241,30,29,58,243,244,113,121,110
"id_8",383,541,1085,0,1295,275,656,375,1016,417,1315,380,550,931,648,1313,0,1318,42,0,0,0,0,582,12,0,0,0,82,47,0,0,10,0,0,0,64,0,0
"id_10",2830,1328,2499,1349,0,1888,646,1521,1963,631,4124,628,2832,1131,3538,4253,135,2435,143,141,684,1315,158,2253,16,291,53,548,79,44,240,496,4,319,78,280,49,40,266
"id_11",3155,3121,2147,255,1732,0,587,3934,2038,338,1712,2093,2804,474,3008,1250,72,886,516,117,1045,1057,0,1434,84,121,0,252,87,225,383,317,132,314,417,512,173,438,127
"id_12",841,502,510,617,465,547,0,583,518,271,545,472,484,340,702,438,0,366,0,0,0,0,0,340,71,0,0,0,89,53,0,0,20,0,0,0,87,0,0
"id_13",4795,5942,4324,1141,2259,4263,832,0,2856,1284,4422,2049,3331,798,5122,2581,101,928,487,155,954,643,80,2907,36,23,177,441,76,223,439,465,101,0,265,413,67,56,348
"id_14",1778,3682,3748,1132,1607,2251,611,3345,0,3085,2396,4969,1380,4311,2405,2068,56,4441,134,0,40,285,0,3061,16,6,172,0,40,48,262,346,77,0,188,203,124,0,379
"id_17",969,1617,2504,570,1383,182,367,1219,2361,0,1339,2776,2153,4670,1388,3243,0,4175,0,0,70,111,169,4724,8,0,0,7,56,53,210,0,18,0,0,120,0,0,99
"id_18",2797,3529,4180,1390,3433,2385,630,4266,2229,1354,0,974,3353,1709,3747,3612,186,2572,34,101,767,519,200,3314,38,132,15,101,137,131,221,264,0,29,0,639,61,44,212
"id_98",1910,1699,2777,502,881,2261,500,2462,4747,4047,999,0,2032,3751,2058,832,0,3625,261,161,111,365,0,3404,3,0,137,0,70,26,443,241,174,0,246,19,0,0,242
"id_122",2734,1387,2090,570,2381,2762,573,2755,1502,2111,3206,2268,0,1319,3104,3048,123,1733,545,75,1136,1044,330,3012,57,138,121,322,66,41,432,156,103,243,0,442,9,7,251
"id_173",177,768,2248,680,1034,370,275,749,4483,5153,1707,3588,1211,0,823,1244,4,4319,70,0,64,95,0,3347,0,0,0,0,69,0,260,0,0,0,0,33,0,0,62
"id_181",3844,2946,2551,661,3471,3407,723,3981,1855,1301,3748,1915,2842,973,0,2777,40,1517,427,101,777,1268,44,2866,0,230,0,525,137,198,113,673,72,206,405,343,187,84,244
"id_208",2747,1376,3321,1287,4130,1807,458,1511,1753,1696,3923,445,3252,1228,3256,0,0,3528,37,0,325,1007,340,5440,1,157,0,58,97,184,0,35,11,43,128,463,96,0,49
"id_304",0,23,84,0,99,61,0,52,83,5,129,13,96,33,49,0,0,2,0,0,0,14,0,0,0,50,0,0,0,0,151,0,0,0,0,0,0,0,21
"id_646",1876,3187,3916,1238,2466,1403,383,1904,3740,3688,3303,2050,2359,2138,1579,4337,0,0,0,0,58,138,194,4310,0,0,0,42,57,33,231,74,11,0,32,210,96,0,74
"id_648",468,44,126,80,86,442,0,403,164,53,24,262,481,59,279,25,0,0,0,0,0,197,0,118,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0
"id_650",0,0,0,0,141,45,0,17,0,0,0,141,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0
"id_651",444,582,278,0,788,636,0,1035,129,113,698,115,862,98,830,289,0,89,0,0,0,0,294,314,0,0,0,449,0,0,0,334,0,0,0,277,0,350,0
"id_652",1177,216,207,0,1352,940,0,383,296,170,480,362,813,139,938,996,9,177,184,91,0,0,0,308,0,83,0,0,0,0,42,0,0,167,0,0,0,0,52
"id_653",81,0,117,0,171,0,0,33,0,143,218,0,274,6,85,300,0,188,0,0,313,0,0,214,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"id_654",2527,3092,3410,662,3996,1565,417,2121,3469,3452,3420,2910,2671,2814,3107,5484,0,3510,26,0,178,810,226,0,1,201,0,18,79,51,228,2,60,82,145,191,17,0,111
"id_655",109,45,10,25,11,69,62,16,16,8,23,4,49,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_656",200,170,190,0,258,110,0,8,9,0,189,0,122,0,220,188,79,0,0,0,0,71,0,174,0,0,0,0,0,0,81,0,0,129,0,0,0,0,0
"id_657",164,3,0,0,154,0,0,92,24,0,41,17,65,0,92,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,171
"id_658",261,198,0,0,470,137,0,346,2,12,143,0,204,0,528,68,0,31,0,0,405,0,25,49,0,0,0,0,0,0,0,250,0,0,0,0,0,94,0
"id_659",69,38,50,80,82,76,49,69,70,68,110,86,54,65,68,94,0,74,0,0,0,0,0,88,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
"id_660",180,198,133,104,43,231,99,158,76,65,148,35,50,18,185,147,0,28,70,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0
"id_661",178,218,279,0,341,260,0,303,311,164,204,213,410,129,250,4,178,246,0,45,0,87,0,199,0,98,131,0,0,0,0,0,0,53,0,0,0,0,258
